workload,fr_ops,redis_ops,redis_over_fr,fr_p99_us,redis_p99_us
set,942070.7121856435,962487.3228789521,1.0216720575528149,1807,1624
get,1106209.2520908185,953172.5243381087,0.8616566192486106,1072,1566
incr,929881.8816609938,895129.0817013375,0.9626266511424232,1509,1627
lpush,724146.0611971057,686899.8198513635,0.948565291808438,2417,2369
lpop,806506.1344523366,709445.3410178183,0.879652752423975,2687,2127
hset,732479.1714664398,753018.0058051061,1.028040161602885,4819,1975
hget,774540.7125255613,722797.2577688827,0.9331946611457548,1462,2361
mixed,910092.4244361636,815535.0798921407,0.8961013826671453,6243,1955
