"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","682593.81","1.077","0.352","0.927","1.695","3.287","13.975"
"GET","913242.00","0.585","0.280","0.527","0.895","1.239","1.935"
"INCR","591716.00","1.326","0.384","1.127","1.807","4.367","28.015"
"LPUSH","925925.88","0.541","0.336","0.463","0.983","1.895","3.455"
"RPUSH","909090.94","0.614","0.336","0.575","0.911","1.495","3.311"
"SADD","858369.12","0.712","0.344","0.655","1.111","3.287","4.143"
"HSET","892857.12","0.734","0.352","0.687","1.183","3.359","4.415"
"SPOP","952381.00","0.571","0.328","0.503","0.823","2.487","4.391"
"ZADD","523560.22","1.488","0.432","1.423","2.119","5.463","7.071"
