"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","682593.81","1.011","0.320","0.959","1.631","2.079","2.639"
"GET","862069.00","0.774","0.304","0.727","1.175","1.503","1.911"
"INCR","766283.50","0.854","0.320","0.791","1.431","1.767","3.175"
"LPUSH","980392.19","0.536","0.240","0.471","0.911","1.111","1.607"
"RPUSH","943396.25","0.573","0.144","0.543","0.943","1.223","1.767"
"SADD","909090.94","0.676","0.264","0.639","1.095","1.375","1.823"
"HSET","784313.75","0.859","0.296","0.823","1.359","1.695","2.815"
"SPOP","833333.38","0.692","0.136","0.551","1.287","1.759","3.159"
"ZADD","462962.94","1.593","0.432","1.447","2.927","3.839","5.255"
