% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 50.05    0.194115          10     18752           sendto
 20.54    0.079656           4     18804           recvfrom
 20.39    0.079095          12      6447         1 epoll_wait
  3.64    0.014136          22       628           read
  2.53    0.009810          15       624           openat
  1.24    0.004820           6       730           close
  0.47    0.001820          17       104        52 shutdown
  0.20    0.000760           7       106           epoll_ctl
  0.15    0.000564           5       105           setsockopt
  0.14    0.000525           9        55         3 accept4
  0.10    0.000384          13        28           mmap
  0.07    0.000262           5        52           fcntl
  0.06    0.000251           4        52           ioctl
  0.06    0.000216          21        10           mprotect
  0.05    0.000176          35         5           write
  0.04    0.000140          70         2           clone3
  0.03    0.000117          19         6           sigaltstack
  0.03    0.000099          19         5           getrandom
  0.02    0.000089          22         4           munmap
  0.02    0.000085          28         3           sched_getaffinity
  0.02    0.000078           8         9           rt_sigprocmask
  0.02    0.000063          21         3           set_robust_list
  0.01    0.000058          11         5           prctl
  0.01    0.000057          28         2         2 access
  0.01    0.000047          15         3           rseq
  0.01    0.000042          21         2           lseek
  0.01    0.000041          41         1           bind
  0.01    0.000040          40         1           listen
  0.01    0.000036          12         3           gettid
  0.01    0.000034          11         3           madvise
  0.01    0.000032          32         1           socket
  0.01    0.000030          15         2           open
  0.01    0.000029           4         6           rt_sigaction
  0.01    0.000027           5         5           fstat
  0.00    0.000017           4         4           getpid
  0.00    0.000012           4         3           brk
  0.00    0.000010           5         2           pread64
  0.00    0.000010           5         2           prlimit64
  0.00    0.000009           9         1           sysinfo
  0.00    0.000008           8         1           epoll_create1
  0.00    0.000007           7         1           eventfd2
  0.00    0.000005           5         1           poll
  0.00    0.000005           5         1           arch_prctl
  0.00    0.000005           5         1           set_tid_address
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.387822           8     46586        58 total
