# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:P'
# Event count (approx.): 17129595225
#
# Overhead  Command       Shared Object     Symbol                                                                                                                          IPC   [IPC Coverage]
# ........  ............  ................  ..............................................................................................................................  ....................
#
     0.18%  frankenredis  frankenredis      [.] <fr_runtime::ServerState>::propagate_expired_key_deletions                                                                  -      -            
     0.17%  fr-writer-0   [unknown]         [k] 0xffffffff8602f7fb                                                                                                          -      -            
     0.17%  frankenredis  frankenredis      [.] <core::hash::sip::Hasher<core::hash::sip::Sip13Rounds> as core::hash::Hasher>::write                                        -      -            
     0.17%  fr-writer-0   [unknown]         [k] 0xffffffff85ffba18                                                                                                          -      -            
     0.17%  fr-writer-0   [unknown]         [k] 0xffffffff85838ed6                                                                                                          -      -            
     0.16%  frankenredis  frankenredis      [.] <fr_runtime::ClientSession as core::clone::Clone>::clone                                                                    -      -            
     0.16%  fr-writer-1   [unknown]         [k] 0xffffffff86229e6b                                                                                                          -      -            
     0.16%  fr-writer-0   [unknown]         [k] 0xffffffff8623a6a7                                                                                                          -      -            
     0.16%  frankenredis  [unknown]         [k] 0xffffffff855005f6                                                                                                          -      -            
     0.16%  fr-writer-1   [unknown]         [k] 0xffffffff8508352a                                                                                                          -      -            
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff86011493                                                                                                          -      -            
     0.15%  frankenredis  frankenredis      [.] <alloc::collections::btree::map::BTreeMap<u64, fr_runtime::ClientSession>>::insert                                          -      -            
     0.15%  frankenredis  [unknown]         [k] 0xffffffff8623a6aa                                                                                                          -      -            
     0.15%  frankenredis  [unknown]         [k] 0xffffffff85500bbe                                                                                                          -      -            
     0.15%  frankenredis  [unknown]         [k] 0xffffffff855005e0                                                                                                          -      -            
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff8604ce72                                                                                                          -      -            
     0.15%  frankenredis  [unknown]         [k] 0xffffffff855005fb                                                                                                          -      -            
     0.14%  frankenredis  [unknown]         [k] 0xffffffff85eeb849                                                                                                          -      -            
     0.14%  fr-writer-1   libc.so.6         [.] __send                                                                                                                      -      -            
     0.14%  fr-writer-1   libc.so.6         [.] __syscall_cancel_arch_start                                                                                                 -      -            
     0.14%  frankenredis  [unknown]         [k] 0xffffffff855005e4                                                                                                          -      -            
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff86003008                                                                                                          -      -            
     0.13%  fr-writer-0   libc.so.6         [.] __syscall_cancel                                                                                                            -      -            
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffffc0f923de                                                                                                          -      -            
     0.13%  frankenredis  frankenredis      [.] frankenredis::main                                                                                                          -      -            
     0.12%  frankenredis  [unknown]         [k] 0xffffffff84f87bc0                                                                                                          -      -            
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff85f2e332                                                                                                          -      -            
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff8507e4cb                                                                                                          -      -            
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff860239c5                                                                                                          -      -            
     0.12%  frankenredis  [unknown]         [k] 0xffffffff851a2b6a                                                                                                          -      -            
     0.12%  frankenredis  [unknown]         [k] 0xffffffff855005ed                                                                                                          -      -            
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff8571c0e7                                                                                                          -      -            
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff86001802                                                                                                          -      -            
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff86011493                                                                                                          -      -            
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff86239b8e                                                                                                          -      -            
     0.12%  frankenredis  [unknown]         [k] 0xffffffff860222e0                                                                                                          -      -            
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff85f2b96f                                                                                                          -      -            
     0.11%  frankenredis  libc.so.6         [.] __syscall_cancel_arch_end                                                                                                   -      -            
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff853ec2a1                                                                                                          -      -            
     0.11%  frankenredis  [unknown]         [k] 0xffffffff84c00112                                                                                                          -      -            
     0.11%  fr-writer-1   libc.so.6         [.] __syscall_cancel                                                                                                            -      -            
     0.11%  frankenredis  [unknown]         [k] 0xffffffff858416a2                                                                                                          -      -            
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffffc0fddc98                                                                                                          -      -            
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff86003008                                                                                                          -      -            
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff8571c0eb                                                                                                          -      -            
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff84c00002                                                                                                          -      -            
     0.10%  frankenredis  [unknown]         [k] 0xffffffff8546fd9f                                                                                                          -      -            
     0.10%  frankenredis  frankenredis      [.] <hashbrown::map::HashMap<mio::token::Token, (), std::hash::random::RandomState>>::insert                                    -      -            
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85ef7e8b                                                                                                          -      -            
     0.10%  frankenredis  frankenredis      [.] <fr_runtime::ClientSession>::refresh_authentication_for_server                                                              -      -            
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff85124d3c                                                                                                          -      -            
     0.10%  frankenredis  libc.so.6         [.] clock_gettime@@GLIBC_2.17                                                                                                   -      -            
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85835fd1                                                                                                          -      -            
     0.10%  frankenredis  [unknown]         [k] 0xffffffff8519f426                                                                                                          -      -            
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff854ffa90                                                                                                          -      -            
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffffc0fee6e0                                                                                                          -      -            
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85eeb840                                                                                                          -      -            
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff8508352a                                                                                                          -      -            
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85453d1b                                                                                                          -      -            
     0.10%  frankenredis  [unknown]         [k] 0xffffffff858416a7                                                                                                          -      -            
     0.10%  frankenredis  [unknown]         [k] 0xffffffff8519f584                                                                                                          -      -            
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff86023681                                                                                                          -      -            
     0.09%  frankenredis  [unknown]         [k] 0xffffffff8623a4cd                                                                                                          -      -            
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff86001821                                                                                                          -      -            
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff850b8f20                                                                                                          -      -            
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff86001802                                                                                                          -      -            
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffffc0fee6e0                                                                                                          -      -            
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff8623a6aa                                                                                                          -      -            
     0.09%  frankenredis  [unknown]         [k] 0xffffffff8546fbbd                                                                                                          -      -            
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff84c00005                                                                                                          -      -            
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff853f14e7                                                                                                          -      -            
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff860114b7                                                                                                          -      -            
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff8621c6a1                                                                                                          -      -            
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff8519f584                                                                                                          -      -            
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff85eef8ec                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff84c00005                                                                                                          -      -            
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff851965ed                                                                                                          -      -            
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff850b8f26                                                                                                          -      -            
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85729265                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8546fc21                                                                                                          -      -            
