# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:P'
# Event count (approx.): 5030567402
#
# Overhead  Command       Shared Object     Symbol                                                                                                                                                                                                                 
# ........  ............  ................  .......................................................................................................................................................................................................................
#
     8.85%  frankenredis  frankenredis      [.] fr_store::canonical_string_value
            |          
            |--2.92%--<fr_store::Store>::drop_if_expired
            |          
             --2.06%--__memcmp_avx2_movbe

     8.02%  frankenredis  frankenredis      [.] <fr_store::Store>::set_plain_borrowed
            |          
            |--2.42%--<fr_store::Store>::drop_if_expired
            |          
             --2.11%--__memcmp_avx2_movbe

     0.16%  frankenredis  [unknown]         [k] 0xffffffff862206af
     0.16%  frankenredis  [unknown]         [k] 0xffffffff84fef5b5
     0.16%  frankenredis  [unknown]         [k] 0xffffffff86003008
     0.16%  frankenredis  [unknown]         [k] 0xffffffffc0f9277e
     0.16%  frankenredis  [unknown]         [k] 0xffffffffc0fddc8b
     0.16%  frankenredis  [unknown]         [k] 0xffffffff8603184f
     0.16%  frankenredis  [unknown]         [k] 0xffffffffc0fd71f9
     0.16%  frankenredis  frankenredis      [.] core::ptr::drop_in_place::<fr_protocol::RespFrame>
     0.16%  frankenredis  [unknown]         [k] 0xffffffff85ef3fbc
     0.16%  frankenredis  [unknown]         [k] 0xffffffff85ffba1b
     0.16%  frankenredis  [unknown]         [k] 0xffffffff8508e843
     0.16%  frankenredis  [unknown]         [k] 0xffffffffc0fee6ea
     0.16%  frankenredis  [unknown]         [k] 0xffffffffc0ffd23f
     0.16%  frankenredis  [unknown]         [k] 0xffffffff85f606eb
     0.16%  frankenredis  [unknown]         [k] 0xffffffff8602eb0b
     0.16%  frankenredis  frankenredis      [.] <alloc::raw_vec::RawVecInner<_>>::reserve::do_reserve_and_handle::<alloc::alloc::Global>
     0.16%  frankenredis  [unknown]         [k] 0xffffffffc0fd74ed
     0.16%  frankenredis  [unknown]         [k] 0xffffffff862252e9
     0.16%  frankenredis  [unknown]         [k] 0xffffffff860d1d15
     0.16%  frankenredis  [unknown]         [k] 0xffffffffc081760f
     0.16%  frankenredis  [unknown]         [k] 0xffffffff8602fcb5
     0.16%  frankenredis  [unknown]         [k] 0xffffffff8604cdf9
     0.16%  frankenredis  frankenredis      [.] mi_theap_malloc_aligned
     0.16%  frankenredis  frankenredis      [.] core::str::converts::from_utf8
     0.16%  frankenredis  frankenredis      [.] frankenredis::drain_pending_pubsub_to_connection
     0.16%  frankenredis  [unknown]         [k] 0xffffffff8602f87a
     0.16%  frankenredis  [unknown]         [k] 0xffffffff85f27539
     0.16%  frankenredis  [unknown]         [k] 0xffffffff85137692
     0.16%  frankenredis  frankenredis      [.] core::ptr::drop_in_place::<fr_runtime::ClientSession>
     0.16%  frankenredis  [unknown]         [k] 0xffffffff85f9f5ce
     0.16%  frankenredis  [unknown]         [k] 0xffffffff84c00112
     0.16%  frankenredis  [unknown]         [k] 0xffffffff8621c6a9
     0.15%  frankenredis  [unknown]         [k] 0xffffffff851374f0
     0.15%  frankenredis  [unknown]         [k] 0xffffffff862251d0
     0.15%  frankenredis  [unknown]         [k] 0xffffffff8601149b
     0.15%  frankenredis  [unknown]         [k] 0xffffffff85922ae0
     0.15%  frankenredis  [unknown]         [k] 0xffffffffc0fea75b
     0.15%  frankenredis  [unknown]         [k] 0xffffffff8603476a
     0.15%  frankenredis  frankenredis      [.] <std::sys::pal::unix::time::Timespec>::now
     0.15%  frankenredis  libc.so.6         [.] epoll_wait
     0.15%  frankenredis  [unknown]         [k] 0xffffffff8603a3d0
     0.14%  frankenredis  [unknown]         [k] 0xffffffff8546fd03
     0.14%  frankenredis  [unknown]         [k] 0xffffffff85835fc8
     0.14%  frankenredis  [unknown]         [k] 0xffffffff8623a3e3
     0.14%  frankenredis  [unknown]         [k] 0xffffffff850790f5
     0.14%  frankenredis  [unknown]         [k] 0xffffffff8602f832
     0.13%  frankenredis  frankenredis      [.] <fr_runtime::ServerState>::propagate_expired_key_deletions
     0.13%  frankenredis  [unknown]         [k] 0xffffffffc0fb0810
     0.13%  frankenredis  [unknown]         [k] 0xffffffff8602f79a
     0.13%  frankenredis  [unknown]         [k] 0xffffffff8604ab71
     0.13%  frankenredis  [unknown]         [k] 0xffffffff85835fd1
     0.13%  frankenredis  [unknown]         [k] 0xffffffff86017d8a
     0.12%  frankenredis  [unknown]         [k] 0xffffffff850b8f20
     0.12%  frankenredis  [unknown]         [k] 0xffffffff85f27059
     0.12%  frankenredis  [unknown]         [k] 0xffffffff860543b4
     0.12%  frankenredis  [unknown]         [k] 0xffffffff860425a2
     0.12%  frankenredis  [unknown]         [k] 0xffffffffc08551a9
     0.12%  frankenredis  [unknown]         [k] 0xffffffff86034484
     0.11%  frankenredis  frankenredis      [.] <hashbrown::map::HashMap<mio::token::Token, (), std::hash::random::RandomState>>::insert
     0.11%  frankenredis  [unknown]         [k] 0xffffffff8507a508
     0.11%  frankenredis  [unknown]         [k] 0xffffffff84f8c9d1
     0.11%  frankenredis  [vdso]            [.] 0x0000000000000966
     0.11%  frankenredis  [unknown]         [k] 0xffffffff850ab52e
     0.11%  frankenredis  [unknown]         [k] 0xffffffff86225225
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85079606
     0.10%  frankenredis  [unknown]         [k] 0xffffffff862252ea
     0.10%  frankenredis  [unknown]         [k] 0xffffffffc13da476
     0.10%  frankenredis  [unknown]         [k] 0xffffffff86054467
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85453d38
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85f0c7db
     0.10%  frankenredis  [unknown]         [k] 0xffffffff8602f4af
     0.10%  frankenredis  [unknown]         [k] 0xffffffff86239b8e
     0.09%  frankenredis  [unknown]         [k] 0xffffffff85f2da3f
     0.09%  frankenredis  [unknown]         [k] 0xffffffff860239fb
     0.09%  frankenredis  [unknown]         [k] 0xffffffff86025ae4
     0.09%  frankenredis  [unknown]         [k] 0xffffffff85091494
     0.09%  frankenredis  [unknown]         [k] 0xffffffff85f2f05f
     0.09%  frankenredis  libc.so.6         [.] clock_gettime@@GLIBC_2.17
     0.09%  frankenredis  frankenredis      [.] <std::sys::pal::unix::time::Timespec>::sub_timespec
     0.09%  frankenredis  [unknown]         [k] 0xffffffff8623a4b9
     0.09%  frankenredis  [unknown]         [k] 0xffffffff85eefb32
     0.09%  frankenredis  [unknown]         [k] 0xffffffff86036637
     0.09%  frankenredis  [unknown]         [k] 0xffffffff860358f7
     0.09%  frankenredis  [unknown]         [k] 0xffffffff86010d28
     0.09%  frankenredis  [unknown]         [k] 0xffffffff8622050c
     0.09%  frankenredis  [unknown]         [k] 0xffffffff8602cdfc
     0.09%  frankenredis  [unknown]         [k] 0xffffffff84f8c350
     0.09%  frankenredis  [unknown]         [k] 0xffffffff86009516
     0.09%  frankenredis  frankenredis      [.] core::ptr::drop_in_place::<fr_runtime::TransactionState>
     0.09%  frankenredis  frankenredis      [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&alloc::vec::Vec<u8>>
     0.08%  frankenredis  [unknown]         [k] 0xffffffff854fe7ae
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8506f987
     0.08%  frankenredis  [unknown]         [k] 0xffffffffc0fe8ea4
     0.08%  frankenredis  [unknown]         [k] 0xffffffff853ee980
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85f053a5
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85eef910
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8620ac94
     0.08%  frankenredis  [unknown]         [k] 0xffffffff851a2a40
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8620e1f9
     0.08%  frankenredis  [unknown]         [k] 0xffffffff860274d0
     0.08%  frankenredis  [unknown]         [k] 0xffffffff850886ae
     0.08%  frankenredis  [vdso]            [.] 0x000000000000098f
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85090ce3
