# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 16266256465
#
# Overhead  Command       Shared Object     Symbol
# ........  ............  ................  ......................................................................................................................................................................................................
#
     0.16%  fr-writer-1   [unknown]         [k] 0xffffffff85d0743b
     0.16%  fr-writer-0   [unknown]         [k] 0xffffffff86229e6b
     0.16%  frankenredis  frankenredis      [.] <fr_runtime::ClientSession>::refresh_authentication_for_server
     0.16%  frankenredis  frankenredis      [.] <fr_store::Store>::update_expiry_deadline
     0.16%  fr-writer-1   [unknown]         [k] 0xffffffff85ffba18
     0.16%  frankenredis  [unknown]         [k] 0xffffffff8623a6aa
     0.16%  frankenredis  [unknown]         [k] 0xffffffff85eeb84d
     0.16%  frankenredis  frankenredis      [.] frankenredis::handle_readable
     0.16%  fr-writer-0   frankenredis      [.] <std::sys::sync::mutex::futex::Mutex>::lock_contended
     0.16%  frankenredis  frankenredis      [.] core::ptr::drop_glue::<fr_protocol::RespFrame>
     0.16%  frankenredis  [unknown]         [k] 0xffffffff8550050b
     0.16%  frankenredis  [unknown]         [k] 0xffffffff84d0410b
     0.16%  frankenredis  frankenredis      [.] <fr_runtime::ClientSession as core::default::Default>::default
     0.16%  fr-writer-1   [unknown]         [k] 0xffffffff8601149b
     0.16%  frankenredis  [unknown]         [k] 0xffffffff85eeb840
     0.15%  frankenredis  [unknown]         [k] 0xffffffff85eeb845
     0.15%  fr-writer-1   [unknown]         [k] 0xffffffffc0fee748
     0.15%  fr-writer-1   [unknown]         [k] 0xffffffff85f2f049
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff86009f1d
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffffc0fba5c9
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff8571c0eb
     0.15%  frankenredis  [unknown]         [k] 0xffffffff85500bbe
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff84f234ba
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffff8506dbb5
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffff860239c5
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffff860425be
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffff86023cdd
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffffc0f928be
     0.14%  fr-writer-0   libc.so.6         [.] __GI___libc_write
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffff8623a6aa
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffff85162a06
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffff86039402
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffff84f23412
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffff850c2f99
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff85838ed6
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff85083580
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff85088556
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff85ef4076
     0.13%  frankenredis  [unknown]         [k] 0xffffffff85500816
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffff854598bc
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffff850b2ca9
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffffc0f923de
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff85729231
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffff86001824
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffff84f8c9d1
     0.13%  frankenredis  [unknown]         [k] 0xffffffff851a2b6a
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff8515fe46
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff8603d597
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff85d073b6
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff8602eb0b
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffffc0fb088a
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffffc0f9202d
     0.12%  frankenredis  [unknown]         [k] 0xffffffff85124d3c
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff850815f7
     0.12%  frankenredis  [unknown]         [k] 0xffffffff8548f9b6
     0.12%  frankenredis  [unknown]         [k] 0xffffffff8519f7ab
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff8623b890
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffffc0fddcc9
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85500bd2
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff85f2b6f8
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff854ffa90
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff862204d1
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff84d04104
     0.11%  frankenredis  [unknown]         [k] 0xffffffff8623b8aa
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff8603c89a
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff8623a6aa
