# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:P'
# Event count (approx.): 17819101513
#
# Overhead  Command       Shared Object     Symbol                                                                                                                     
# ........  ............  ................  ...........................................................................................................................
#
     5.18%  frankenredis  [vdso]            [.] 0x0000000000000983
            |          
            |--1.17%--<fr_store::Store>::drop_if_expired
            |          
            |--0.87%--__memcmp_avx2_movbe
            |          
             --0.61%--0x71c03467f986
                       clock_gettime@@GLIBC_2.17
                       <std::sys::pal::unix::time::Timespec>::now
                       <fr_runtime::Runtime>::execute_plain_get_borrowed_into_with_default_read_gate

     3.47%  frankenredis  [vdso]            [.] 0x0000000000000937
            |          
            |--0.99%--<fr_store::Store>::drop_if_expired
            |          
             --0.65%--__memcmp_avx2_movbe

     0.17%  fr-writer-0   libc.so.6         [.] __syscall_cancel_arch_start
     0.17%  fr-writer-1   [unknown]         [k] 0xffffffff86034507
     0.17%  fr-writer-0   [unknown]         [k] 0xffffffff85090295
     0.17%  fr-writer-0   [unknown]         [k] 0xffffffffc08175c0
     0.17%  frankenredis  frankenredis      [.] <std::sys::pal::unix::time::Timespec>::now
     0.17%  frankenredis  [unknown]         [k] 0xffffffff860274f8
     0.16%  fr-writer-1   libc.so.6         [.] __send
     0.16%  frankenredis  [unknown]         [k] 0xffffffff8515fe46
     0.16%  frankenredis  [unknown]         [k] 0xffffffff85835fd1
     0.16%  fr-writer-1   [unknown]         [k] 0xffffffff85ffba24
     0.16%  fr-writer-0   [unknown]         [k] 0xffffffff85f2e332
     0.16%  fr-writer-0   [unknown]         [k] 0xffffffffc0f92477
     0.16%  fr-writer-1   [unknown]         [k] 0xffffffff85eff199
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff851965ed
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff850b8f20
     0.15%  fr-writer-1   [unknown]         [k] 0xffffffffc0fddc92
     0.15%  fr-writer-1   [unknown]         [k] 0xffffffff86239b8e
     0.15%  frankenredis  [unknown]         [k] 0xffffffff8550060d
     0.15%  frankenredis  [unknown]         [k] 0xffffffff85500bc2
     0.15%  frankenredis  [unknown]         [k] 0xffffffff85124d3c
     0.15%  fr-writer-1   [unknown]         [k] 0xffffffff851a2b6a
     0.14%  frankenredis  frankenredis      [.] <fr_store::CommandHistogramTracker>::record_canonical_with_kind
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffffc0fd73e0
     0.14%  frankenredis  [unknown]         [k] 0xffffffff855005e4
     0.14%  frankenredis  [unknown]         [k] 0xffffffff85453d17
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffff8603d478
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffff85729263
     0.14%  frankenredis  [unknown]         [k] 0xffffffff85196613
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffff8508f89c
     0.14%  frankenredis  [unknown]         [k] 0xffffffff85eefc98
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffff84c00112
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffff85ffba18
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffff8602f685
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff8623b890
     0.13%  frankenredis  frankenredis      [.] <fr_runtime::ClientSession>::refresh_authentication_for_server
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffffc0fddc8b
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffff8515fe45
     0.13%  frankenredis  [unknown]         [k] 0xffffffff85021acf
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffff8513cf21
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffff850b8f25
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff860118da
     0.13%  frankenredis  [unknown]         [k] 0xffffffff84f23441
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff86001805
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff85838ed6
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff850b8f3e
     0.12%  frankenredis  [vdso]            [.] 0x0000000000000969
     0.12%  frankenredis  frankenredis      [.] frankenredis::drive_client_output
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff8623a6a7
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffffc0fd47de
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff85314671
     0.12%  fr-writer-0   libc.so.6         [.] __syscall_cancel
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff85f02a63
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff86003008
     0.12%  frankenredis  [unknown]         [k] 0xffffffff851a220b
     0.12%  frankenredis  [unknown]         [k] 0xffffffff86239b8e
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff853f14e7
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffffc0feaeb5
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff85ef6e27
     0.12%  frankenredis  [unknown]         [k] 0xffffffff85f0db23
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff860344a4
     0.11%  frankenredis  [unknown]         [k] 0xffffffff8519f5c2
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff85137466
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff85729265
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff853f11e8
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff86023681
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff8602eb0b
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffffc0fb0816
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff84fef585
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff8602f685
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff85124a33
     0.11%  frankenredis  libc.so.6         [.] __libc_recv
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffffc0f928be
     0.11%  frankenredis  [unknown]         [k] 0xffffffff8546fc25
     0.11%  frankenredis  [unknown]         [k] 0xffffffff84c001c4
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff858416a7
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffffc0fde33b
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff850b683e
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff85838f0a
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff851a2b6a
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff85f2e332
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff86010a9c
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff85080fa4
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff8602f708
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff850bc547
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffffc08551a0
     0.10%  frankenredis  [unknown]         [k] 0xffffffff8623a3b5
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff8623a353
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff84d04104
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff85eff1a7
     0.10%  frankenredis  [unknown]         [k] 0xffffffff86027636
     0.10%  frankenredis  [unknown]         [k] 0xffffffff86232e9c
     0.10%  frankenredis  [unknown]         [k] 0xffffffff8515fe45
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff860239c5
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff8571c0e7
     0.10%  frankenredis  [vdso]            [.] 0x00000000000009f9
     0.10%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::pubsub_sub_count
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff8603f684
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85eeb840
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff8508e84a
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85f0cb75
     0.10%  frankenredis  frankenredis      [.] <std::sync::mpmc::waker::SyncWaker>::notify
     0.10%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::drain_pending_pubsub
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff86011493
     0.10%  frankenredis  [unknown]         [k] 0xffffffff8519f409
     0.10%  frankenredis  [unknown]         [k] 0xffffffff86220541
     0.10%  frankenredis  [unknown]         [k] 0xffffffff84f87bc0
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff8516293c
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff85ffba1b
     0.10%  frankenredis  [unknown]         [k] 0xffffffff8519f584
     0.10%  frankenredis  [unknown]         [k] 0xffffffff854fe335
     0.10%  frankenredis  [unknown]         [k] 0xffffffff8550050b
     0.10%  frankenredis  [unknown]         [k] 0xffffffff858416a7
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffffc081712f
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85eefcc2
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff860d1d16
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff85f276aa
     0.09%  frankenredis  [unknown]         [k] 0xffffffff84c00005
     0.09%  frankenredis  [unknown]         [k] 0xffffffff860257ed
     0.09%  frankenredis  [unknown]         [k] 0xffffffff85eeb89a
     0.09%  frankenredis  [unknown]         [k] 0xffffffff860317f7
     0.09%  frankenredis  [unknown]         [k] 0xffffffff855004f7
     0.09%  frankenredis  [unknown]         [k] 0xffffffff851965e6
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff8603c843
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff84c00002
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff860113c6
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff850a780c
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff85090754
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffffc0fbd2b7
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff8508352a
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff8623b8a0
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff86054255
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff860239c5
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff860239fb
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff850cd883
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff850c03ab
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff8519660e
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff86001805
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffffc0feae07
     0.09%  fr-writer-0   frankenredis      [.] <mio::sys::unix::waker::Waker>::wake
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff8604ce72
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff8602f7fb
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffffc0817139
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff85021af2
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff85ef4034
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff85081608
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffffc08175ec
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85eef8dd
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff85efeee0
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffffc0feae1f
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff851374f0
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffffc0816130
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85ef6df6
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff85f03f6d
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8519f3fe
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8572a609
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff85131a7f
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8623a6aa
     0.08%  fr-writer-0   libc.so.6         [.] syscall
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85f2e22d
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85160bb6
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8602f45d
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff85456d95
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85712540
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8600e0ed
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8602f8fd
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff86010f3a
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff85f02571
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8623b8aa
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85f02a63
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8507ffbd
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff84c00005
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85124a1c
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff860240ca
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff84f234be
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86232e82
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff850b683c
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8546fb9b
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff84c0012b
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85f60746
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f2f049
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff86010f9e
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8602fb14
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8571c0eb
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8602f79a
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff850b2c99
     0.07%  frankenredis  [unknown]         [k] 0xffffffff85eefda3
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff84c001c4
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85ef4076
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffffc0fdd16a
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85f02a0c
     0.07%  frankenredis  [unknown]         [k] 0xffffffff8546fd78
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8510f1d5
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8603fc9a
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff84c00005
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85124af4
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffffc0f923de
     0.07%  frankenredis  [unknown]         [k] 0xffffffff85452365
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8602f69b
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff84fc01c0
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffffc0fde437
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85f2b8c9
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8602c6ab
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8547f2ae
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8602cb85
     0.07%  fr-writer-1   frankenredis      [.] <std::sync::mpmc::array::Channel<frankenredis::WriterJob>>::recv::{closure#1}
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff862206af
     0.07%  frankenredis  [unknown]         [k] 0xffffffff851a2b6a
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8513cf48
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff86036ac7
     0.07%  frankenredis  [unknown]         [k] 0xffffffff85300b66
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff86011485
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85079105
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff862252e9
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85087d30
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff86009f06
     0.06%  frankenredis  [unknown]         [k] 0xffffffff86025ae9
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85f2f165
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85f2b4c9
     0.06%  frankenredis  [unknown]         [k] 0xffffffff854afe55
     0.06%  frankenredis  [unknown]         [k] 0xffffffff851a28f0
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8506f93c
     0.06%  frankenredis  [unknown]         [k] 0xffffffff8603b832
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85ef1836
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8623a3c7
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8603d141
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8603fca2
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85ef3fa5
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8546fda6
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8603fca9
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85712ad5
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffffc081760c
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85f2adf3
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff851a2b34
     0.06%  frankenredis  [unknown]         [k] 0xffffffff85124a3c
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85d0743b
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff850b8f29
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffffc0ffd794
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85089239
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8603d2ff
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85f2c9b1
     0.06%  frankenredis  [unknown]         [k] 0xffffffff86225220
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff86011bfd
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8507916e
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffffc0fd47f0
     0.06%  frankenredis  [unknown]         [k] 0xffffffff8519f592
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff86229e6b
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8508a285
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffffc13da476
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff856a2085
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85f2f09d
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8623b893
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85162906
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8603475a
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85089b0a
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8604c54a
     0.06%  frankenredis  [vdso]            [.] 0x000000000000097a
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffffc0ffd795
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffffc081777e
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85090562
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8603d2fc
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8602f7fb
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8603a6a6
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85079290
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8506c86c
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffffc0ffd776
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85eff199
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff86011d72
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85f2e985
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8547f9eb
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85f0044b
