% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 51.43    0.719753          47     15253      1428 futex
 16.69    0.233577          37      6290           sendto
  9.08    0.127050           9     12735           epoll_ctl
  8.90    0.124529          19      6295           write
  6.93    0.097015          15      6380           recvfrom
  4.98    0.069738          14      4748         1 epoll_wait
  0.79    0.010993          23       468           read
  0.52    0.007302          15       464           openat
  0.29    0.004041           7       568           close
  0.13    0.001889          18       102        51 shutdown
  0.04    0.000582          10        53         2 accept4
  0.04    0.000560           5       103           setsockopt
  0.03    0.000421          10        42           madvise
  0.03    0.000373          13        28           mmap
  0.02    0.000243           4        51           ioctl
  0.02    0.000241           4        51           fcntl
  0.01    0.000192          19        10           mprotect
  0.01    0.000160          80         2           clone3
  0.01    0.000139          15         9           rt_sigprocmask
  0.01    0.000113          28         4           munmap
  0.01    0.000073          14         5           getrandom
  0.00    0.000068          22         3           set_robust_list
  0.00    0.000062          62         1           bind
  0.00    0.000061          10         6           sigaltstack
  0.00    0.000057          11         5           prctl
  0.00    0.000052          17         3           rseq
  0.00    0.000033          11         3           sched_getaffinity
  0.00    0.000032          16         2         2 access
  0.00    0.000032          32         1           socket
  0.00    0.000032          10         3           gettid
  0.00    0.000025           4         6           rt_sigaction
  0.00    0.000017           8         2           lseek
  0.00    0.000017           4         4           getpid
  0.00    0.000016           8         2           open
  0.00    0.000014           2         5           fstat
  0.00    0.000011           5         2           pread64
  0.00    0.000009           9         1           epoll_create1
  0.00    0.000009           4         2           prlimit64
  0.00    0.000007           7         1           eventfd2
  0.00    0.000006           6         1           arch_prctl
  0.00    0.000006           6         1           set_tid_address
  0.00    0.000005           5         1           listen
  0.00    0.000005           5         1           sysinfo
  0.00    0.000004           1         3           brk
  0.00    0.000003           3         1           poll
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    1.399567          26     53722      1484 total
