workload,fr_ops,redis_ops,redis_over_fr,fr_p99_us,redis_p99_us
"set","946197.0022719041","962097.6098503248","1.0168047537037657","1461","1529"
"get","1167429.6785988656","911447.0798892876","0.7807297489500138","923","1566"
"incr","940868.3351015856","901176.2413643398","0.9578133387463186","1475","1782"
"lpush","941375.2388319972","850776.6244936599","0.9037592974606528","1447","1878"
"lpop","769196.3151527451","697460.8771700882","0.9067397534679923","1785","2279"
"hset","739151.4719976124","862417.4515575805","1.1667668728668463","4291","1721"
"hget","960171.9491289251","813017.0908956875","0.8467411400981485","1113","1894"
"mixed","941383.2618497615","868177.0702003464","0.9222355074536068","1605","1751"
