# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 15783509527
#
# Overhead  Command       Shared Object     Symbol                                                                                                                                                                                                  
# ........  ............  ................  ........................................................................................................................................................................................................
#
     0.17%  fr-writer-0   [unknown]         [k] 0xffffffff85ffba18
     0.17%  fr-writer-0   [unknown]         [k] 0xffffffff851a0593
     0.17%  fr-writer-1   [unknown]         [k] 0xffffffff8547fa36
     0.17%  fr-writer-1   [unknown]         [k] 0xffffffff86229e6b
     0.17%  frankenredis  [unknown]         [k] 0xffffffff85500bd5
     0.16%  frankenredis  [unknown]         [k] 0xffffffff84c00005
     0.16%  frankenredis  [unknown]         [k] 0xffffffff84d04104
     0.16%  frankenredis  [unknown]         [k] 0xffffffff86022536
     0.16%  frankenredis  [unknown]         [k] 0xffffffff855005e4
     0.16%  frankenredis  frankenredis      [.] frankenredis::drive_client_output
     0.16%  frankenredis  [unknown]         [k] 0xffffffff8623a6a5
     0.16%  frankenredis  libc.so.6         [.] epoll_ctl
     0.16%  frankenredis  [unknown]         [k] 0xffffffff84d0410b
     0.16%  frankenredis  [unknown]         [k] 0xffffffff855005e0
     0.16%  frankenredis  [unknown]         [k] 0xffffffff84c00112
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff860118cf
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff862252e9
     0.15%  fr-writer-1   [unknown]         [k] 0xffffffff85eff199
     0.15%  frankenredis  [unknown]         [k] 0xffffffff85835fd1
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff851a2a3c
     0.15%  fr-writer-1   [unknown]         [k] 0xffffffff8602f79a
     0.15%  fr-writer-0   [unknown]         [k] 0xffffffff8623a6a7
     0.15%  fr-writer-1   [unknown]         [k] 0xffffffff8506d57c
     0.15%  fr-writer-1   [unknown]         [k] 0xffffffff84d04104
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffff8508e947
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffff85f2efaa
     0.14%  fr-writer-1   libc.so.6         [.] __syscall_cancel_arch_start
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffff85f2e2da
     0.14%  frankenredis  [unknown]         [k] 0xffffffff851a2b6a
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffff8600a886
     0.14%  fr-writer-0   [unknown]         [k] 0xffffffffc0fee75b
     0.14%  frankenredis  libc.so.6         [.] __syscall_cancel_arch_start
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffff85f2f049
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff854ffa90
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffffc0fb0815
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff86039ff6
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff8548f9c3
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff851a2b6f
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff85f606e9
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff85f606e5
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff854ffa90
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff8519f584
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffffc0fd71e3
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff86003008
     0.12%  frankenredis  frankenredis      [.] core::ptr::drop_glue::<fr_runtime::TransactionState>
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff854ffa96
     0.12%  frankenredis  [unknown]         [k] 0xffffffff8621f910
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff8600a114
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff86036b87
     0.12%  frankenredis  [unknown]         [k] 0xffffffff85124d3c
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffffc0f92499
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff850b8f25
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff8583c204
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffff8519f3fe
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff8603a6d1
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff84c0012b
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff85079221
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff84f8c9d1
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff8508759f
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff84f23440
     0.11%  frankenredis  [unknown]         [k] 0xffffffff84f87bc0
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff8603c97c
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffffc0fd3619
     0.11%  frankenredis  [unknown]         [k] 0xffffffff8546fda6
     0.11%  frankenredis  [unknown]         [k] 0xffffffff862206af
     0.11%  frankenredis  [unknown]         [k] 0xffffffff854fe33a
     0.11%  frankenredis  [unknown]         [k] 0xffffffff851a2b38
