# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:P'
# Event count (approx.): 16406672694
#
# Overhead  Command       Shared Object     Symbol                                                                                                                          IPC   [IPC Coverage]
# ........  ............  ................  ..............................................................................................................................  ....................
#
     4.66%  frankenredis  [vdso]            [.] 0x0000000000000983                                                                                                          -      -            
            |          
            |--0.80%--<fr_store::Store>::drop_if_expired
            |          
            |--0.57%--__memcmp_avx2_movbe
            |          
             --0.51%--0x7980a6fa9986
                       clock_gettime@@GLIBC_2.17
                       <std::sys::pal::unix::time::Timespec>::now
                       <fr_runtime::Runtime>::execute_plain_get_borrowed_into_with_default_read_gate

     0.21%  fr-writer-0   libc.so.6         [.] __syscall_cancel_arch_start                                                                                                 -      -            
     0.20%  fr-writer-0   [unknown]         [k] 0xffffffff84d04104                                                                                                          -      -            
     0.20%  fr-writer-0   [unknown]         [k] 0xffffffff86001821                                                                                                          -      -            
     0.19%  fr-writer-0   [unknown]         [k] 0xffffffff84f87bc0                                                                                                          -      -            
     0.19%  fr-writer-1   frankenredis      [.] <std::sys::sync::mutex::futex::Mutex>::lock_contended                                                                       -      -            
     0.18%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::pubsub_sub_count                                                                                     -      -            
     0.18%  frankenredis  [unknown]         [k] 0xffffffff855005ed                                                                                                          -      -            
     0.18%  frankenredis  libc.so.6         [.] epoll_ctl                                                                                                                   -      -            
     0.18%  frankenredis  [unknown]         [k] 0xffffffff84c00005                                                                                                          -      -            
     0.18%  fr-writer-1   libc.so.6         [.] __syscall_cancel                                                                                                            -      -            
     0.18%  fr-writer-1   [unknown]         [k] 0xffffffff86011493                                                                                                          -      -            
     0.17%  frankenredis  [unknown]         [k] 0xffffffff84d04104                                                                                                          -      -            
     0.16%  fr-writer-0   [unknown]         [k] 0xffffffff85eff199                                                                                                          -      -            
     0.16%  frankenredis  [unknown]         [k] 0xffffffff8621f910                                                                                                          -      -            
     0.16%  frankenredis  frankenredis      [.] <fr_store::CommandHistogramTracker>::record_canonical_with_kind                                                             -      -            
     0.16%  fr-writer-1   [unknown]         [k] 0xffffffff8603a6d1                                                                                                          -      -            
     0.15%  frankenredis  [unknown]         [k] 0xffffffff85eeb840                                                                                                          -      -            
     0.15%  fr-writer-1   [unknown]         [k] 0xffffffff8600dd5f                                                                                                          -      -            
     0.15%  frankenredis  [unknown]         [k] 0xffffffff855005e4                                                                                                          -      -            
     0.15%  frankenredis  [unknown]         [k] 0xffffffff85500751                                                                                                          -      -            
     0.15%  frankenredis  [unknown]         [k] 0xffffffff8519660e                                                                                                          -      -            
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffff8602f7fb                                                                                                          -      -            
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffff8603d478                                                                                                          -      -            
     0.14%  fr-writer-1   [unknown]         [k] 0xffffffff86003008                                                                                                          -      -            
     0.14%  frankenredis  frankenredis      [.] <fr_runtime::ClientSession as core::clone::Clone>::clone                                                                    -      -            
     0.14%  frankenredis  [unknown]         [k] 0xffffffff85500bbe                                                                                                          -      -            
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff86229e6b                                                                                                          -      -            
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffff85f2e332                                                                                                          -      -            
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff84c00002                                                                                                          -      -            
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff86009f1d                                                                                                          -      -            
     0.13%  frankenredis  [unknown]         [k] 0xffffffff86025d08                                                                                                          -      -            
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffff85ffba18                                                                                                          -      -            
     0.13%  fr-writer-0   [unknown]         [k] 0xffffffff862251d0                                                                                                          -      -            
     0.13%  frankenredis  [unknown]         [k] 0xffffffff851965e6                                                                                                          -      -            
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffffc0fdcfa3                                                                                                          -      -            
     0.13%  frankenredis  [unknown]         [k] 0xffffffff858416a7                                                                                                          -      -            
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffff8623a6a7                                                                                                          -      -            
     0.13%  fr-writer-1   [unknown]         [k] 0xffffffff850b8f29                                                                                                          -      -            
     0.12%  frankenredis  frankenredis      [.] <std::sys::pal::unix::time::Timespec>::sub_timespec                                                                         -      -            
     0.12%  fr-writer-1   [unknown]         [k] 0xffffffffc0f92477                                                                                                          -      -            
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff860118d3                                                                                                          -      -            
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff84f8c9d1                                                                                                          -      -            
     0.12%  frankenredis  frankenredis      [.] <fr_runtime::ServerState>::run_active_expire_cycle                                                                          -      -            
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff85838ed1                                                                                                          -      -            
     0.12%  fr-writer-0   [unknown]         [k] 0xffffffff85160bb6                                                                                                          -      -            
     0.12%  frankenredis  frankenredis      [.] <core::hash::sip::Hasher<core::hash::sip::Sip13Rounds> as core::hash::Hasher>::write                                        -      -            
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff86001805                                                                                                          -      -            
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff860239c5                                                                                                          -      -            
     0.11%  fr-writer-1   [unknown]         [k] 0xffffffff8519660e                                                                                                          -      -            
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85500778                                                                                                          -      -            
     0.11%  fr-writer-0   [unknown]         [k] 0xffffffff8603d478                                                                                                          -      -            
     0.11%  frankenredis  [unknown]         [k] 0xffffffff85835fd1                                                                                                          -      -            
     0.11%  fr-writer-1   libc.so.6         [.] __syscall_cancel_arch_start                                                                                                 -      -            
     0.11%  frankenredis  [unknown]         [k] 0xffffffff862206af                                                                                                          -      -            
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff86001824                                                                                                          -      -            
     0.10%  frankenredis  [unknown]         [k] 0xffffffff851a2b6a                                                                                                          -      -            
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff8623a6aa                                                                                                          -      -            
     0.10%  frankenredis  [unknown]         [k] 0xffffffff84f233a4                                                                                                          -      -            
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff86011493                                                                                                          -      -            
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff8546fb9b                                                                                                          -      -            
     0.10%  frankenredis  [unknown]         [k] 0xffffffff8623a6aa                                                                                                          -      -            
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff85ffba1b                                                                                                          -      -            
     0.10%  frankenredis  [unknown]         [k] 0xffffffff851965fa                                                                                                          -      -            
     0.10%  frankenredis  [unknown]         [k] 0xffffffff85124d3c                                                                                                          -      -            
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffffc0fdbeb0                                                                                                          -      -            
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff85f2df9d                                                                                                          -      -            
     0.10%  fr-writer-0   [unknown]         [k] 0xffffffff8623a54f                                                                                                          -      -            
     0.10%  fr-writer-1   [unknown]         [k] 0xffffffff85ffba1b                                                                                                          -      -            
     0.09%  frankenredis  [unknown]         [k] 0xffffffff860317f7                                                                                                          -      -            
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff8623a6a7                                                                                                          -      -            
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff850b8f20                                                                                                          -      -            
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff85124d3c                                                                                                          -      -            
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff860344a4                                                                                                          -      -            
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff85f2e332                                                                                                          -      -            
     0.09%  frankenredis  [unknown]         [k] 0xffffffff8623a3b5                                                                                                          -      -            
     0.09%  fr-writer-1   [unknown]         [k] 0xffffffff860118cf                                                                                                          -      -            
     0.09%  fr-writer-0   [unknown]         [k] 0xffffffff86003008                                                                                                          -      -            
     0.09%  frankenredis  [unknown]         [k] 0xffffffff8623a6a7                                                                                                          -      -            
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff86239b8e                                                                                                          -      -            
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff850b8f26                                                                                                          -      -            
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8513cf05                                                                                                          -      -            
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff86023681                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff856a2147                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff860222e5                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8572a609                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85eec316                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85104b40                                                                                                          -      -            
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff853ec2a1                                                                                                          -      -            
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff851a2279                                                                                                          -      -            
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8508352a                                                                                                          -      -            
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8602eb12                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff854afed7                                                                                                          -      -            
     0.08%  frankenredis  frankenredis      [.] mi_free                                                                                                                     -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff851965f2                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff851965fc                                                                                                          -      -            
     0.08%  frankenredis  frankenredis      [.] <fr_runtime::Runtime>::plain_borrowed_default_key_read_allows                                                               -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff854fe33a                                                                                                          -      -            
     0.08%  frankenredis  frankenredis      [.] frankenredis::main                                                                                                          -      -            
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85eef8ec                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85eeb84d                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff851a222e                                                                                                          -      -            
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff854ffa96                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff84c0012b                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85eefc98                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff86027636                                                                                                          -      -            
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff851600f6                                                                                                          -      -            
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffffc08551a6                                                                                                          -      -            
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff850b8f26                                                                                                          -      -            
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff86023681                                                                                                          -      -            
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff851a2b34                                                                                                          -      -            
     0.08%  frankenredis  [unknown]         [k] 0xffffffff851a2278                                                                                                          -      -            
     0.08%  frankenredis  libc.so.6         [.] __syscall_cancel                                                                                                            -      -            
     0.07%  frankenredis  [unknown]         [k] 0xffffffff8623a3c7                                                                                                          -      -            
     0.07%  frankenredis  [unknown]         [k] 0xffffffff860222e0                                                                                                          -      -            
     0.07%  frankenredis  [unknown]         [k] 0xffffffff85453d17                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8603a6d1                                                                                                          -      -            
     0.07%  frankenredis  [unknown]         [k] 0xffffffff85ef6ae0                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85eff199                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff86239b8e                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff851a2b20                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffffc0fd771f                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff850b8f29                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffffc0817606                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff86001802                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8546fb9b                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffffc0f923de                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffffc0f92477                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f2e2b0                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f2b975                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8508352a                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8603caa6                                                                                                          -      -            
     0.07%  frankenredis  [unknown]         [k] 0xffffffff851a2aba                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff84c00002                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85ffba18                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8602f685                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8602eb0b                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8547b255                                                                                                          -      -            
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffffc0f923de                                                                                                          -      -            
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffffc08551a0                                                                                                          -      -            
