# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:P'
# Event count (approx.): 15716702183
#
# Overhead  Shared Object     Symbol                                                                                                                                                                                                                                                                                                                                                                             IPC   [IPC Coverage]
# ........  ................  .................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     5.78%  frankenredis      [.] <core::hash::sip::Hasher<core::hash::sip::Sip13Rounds> as core::hash::Hasher>::write                                                                                                                                                                                                                                                                                           -      -            
            |          
             --1.18%--_mi_page_malloc_zero

     2.82%  frankenredis      [.] <fr_runtime::Runtime>::refresh_store_runtime_info_context                                                                                                                                                                                                                                                                                                                      -      -            
            |          
             --0.67%--<fr_store::Store>::drop_if_expired

     2.72%  frankenredis      [.] <fr_runtime::Runtime>::execute_frame_internal                                                                                                                                                                                                                                                                                                                                  -      -            
     2.26%  [vdso]            [.] 0x0000000000000983                                                                                                                                                                                                                                                                                                                                                             -      -            
     2.24%  frankenredis      [.] frankenredis::process_buffered_frames                                                                                                                                                                                                                                                                                                                                          -      -            
     2.02%  frankenredis      [.] fr_protocol::parse_command_args_borrowed_into                                                                                                                                                                                                                                                                                                                                  -      -            
     1.99%  frankenredis      [.] <fr_runtime::Runtime>::dispatch_with_client_context                                                                                                                                                                                                                                                                                                                            -      -            
     1.97%  libc.so.6         [.] __memmove_avx_unaligned_erms                                                                                                                                                                                                                                                                                                                                                   -      -            
     1.45%  frankenredis      [.] <fr_store::Store>::update_expiry_deadline                                                                                                                                                                                                                                                                                                                                      -      -            
     1.44%  frankenredis      [.] mi_free                                                                                                                                                                                                                                                                                                                                                                        -      -            
     1.35%  frankenredis      [.] <fr_store::Store>::internal_entries_insert                                                                                                                                                                                                                                                                                                                                     -      -            
     1.25%  frankenredis      [.] frankenredis::main                                                                                                                                                                                                                                                                                                                                                             -      -            
     1.22%  [unknown]         [k] 0xffffffff84c001bd                                                                                                                                                                                                                                                                                                                                                             -      -            
     1.19%  frankenredis      [.] fr_command::command_table_index                                                                                                                                                                                                                                                                                                                                                -      -            
     1.15%  frankenredis      [.] <core::str::iter::Split<core::str::IsWhitespace> as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::traits::iterator::Iterator::find::check<&str, &mut core::str::IsNotEmpty>::{closure#0}, core::ops::control_flow::ControlFlow<&str>>                                                                                                                    -      -            
     1.03%  frankenredis      [.] _mi_page_malloc_zero                                                                                                                                                                                                                                                                                                                                                           -      -            
     1.02%  frankenredis      [.] mi_theap_malloc_aligned                                                                                                                                                                                                                                                                                                                                                        -      -            
     1.00%  [unknown]         [k] 0xffffffff84d0410b                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.96%  libc.so.6         [.] __memcmp_avx2_movbe                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.85%  frankenredis      [.] frankenredis::copy_borrowed_argv_into_scratch                                                                                                                                                                                                                                                                                                                                  -      -            
     0.82%  frankenredis      [.] fr_command::rewrite_relative_expire_for_propagation                                                                                                                                                                                                                                                                                                                            -      -            
     0.78%  frankenredis      [.] <fr_store::Store>::set                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.73%  frankenredis      [.] fr_runtime::push_ascii_lowercase_lossy                                                                                                                                                                                                                                                                                                                                         -      -            
     0.73%  frankenredis      [.] core::str::converts::from_utf8                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.72%  frankenredis      [.] <fr_runtime::Runtime>::refresh_client_memory_aggregates                                                                                                                                                                                                                                                                                                                        -      -            
     0.72%  libc.so.6         [.] __memset_avx2_unaligned_erms                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.72%  frankenredis      [.] <core::str::lossy::Utf8Chunks as core::iter::traits::iterator::Iterator>::next                                                                                                                                                                                                                                                                                                 -      -            
     0.70%  frankenredis      [.] <fr_runtime::Runtime>::execute_dispatch                                                                                                                                                                                                                                                                                                                                        -      -            
     0.69%  [unknown]         [k] 0xffffffff84d04109                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.68%  frankenredis      [.] <alloc::string::String>::from_utf8_lossy                                                                                                                                                                                                                                                                                                                                       -      -            
     0.67%  frankenredis      [.] fr_command::classify_command                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.66%  frankenredis      [.] fr_command::dispatch_argv                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.64%  frankenredis      [.] <usize>::_fmt_inner                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.63%  frankenredis      [.] mi_malloc_aligned                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.62%  frankenredis      [.] <fr_store::CommandHistogramTracker>::record_canonical_with_kind                                                                                                                                                                                                                                                                                                                -      -            
     0.60%  frankenredis      [.] <fr_store::Store>::drop_if_expired                                                                                                                                                                                                                                                                                                                                             -      -            
     0.60%  frankenredis      [.] frankenredis::process_argv_frame                                                                                                                                                                                                                                                                                                                                               -      -            
     0.55%  frankenredis      [.] fr_command::check_full_command_arity                                                                                                                                                                                                                                                                                                                                           -      -            
     0.55%  frankenredis      [.] fr_command::canonical_command_fullname                                                                                                                                                                                                                                                                                                                                         -      -            
     0.51%  frankenredis      [.] <alloc::collections::btree::map::IntoIter<alloc::vec::Vec<u8>, alloc::collections::btree::set_val::SetValZST>>::dying_next                                                                                                                                                                                                                                                     -      -            
     0.50%  frankenredis      [.] fr_store::canonical_string_value                                                                                                                                                                                                                                                                                                                                               -      -            
     0.48%  frankenredis      [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&alloc::vec::Vec<u8>>                                                                                                                                                                                                                                                                                  -      -            
     0.48%  frankenredis      [.] <fr_runtime::AclUser>::acl_permission_error_for_argv                                                                                                                                                                                                                                                                                                                           -      -            
     0.48%  frankenredis      [.] fr_command::acl_command_selectors_for_argv                                                                                                                                                                                                                                                                                                                                     -      -            
     0.47%  [unknown]         [k] 0xffffffff84c00080                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.43%  frankenredis      [.] core::ptr::drop_glue::<alloc::vec::Vec<alloc::vec::Vec<u8>>>                                                                                                                                                                                                                                                                                                                   -      -            
     0.42%  frankenredis      [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&[u8]>                                                                                                                                                                                                                                                                                                 -      -            
     0.42%  frankenredis      [.] <fr_store::CommandHistogramTracker>::record_with_kind                                                                                                                                                                                                                                                                                                                          -      -            
     0.40%  frankenredis      [.] fr_command::rewrite_effect_command_for_propagation                                                                                                                                                                                                                                                                                                                             -      -            
     0.40%  frankenredis      [.] <fr_protocol::RespFrame>::encode_into                                                                                                                                                                                                                                                                                                                                          -      -            
     0.37%  frankenredis      [.] <fr_runtime::Runtime>::drain_pending_pubsub                                                                                                                                                                                                                                                                                                                                    -      -            
     0.36%  frankenredis      [.] <i64 as alloc::string::SpecToString>::spec_to_string                                                                                                                                                                                                                                                                                                                           -      -            
