# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:P'
# Event count (approx.): 15716702183
#
# Overhead  Shared Object     Symbol                                                                                                                                                                                                                                                                                                                                                                             IPC   [IPC Coverage]
# ........  ................  .................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.36%  frankenredis      [.] fr_command::check_command_arity                                                                                                                                                                                                                                                                                                                                                -      -            
     0.36%  [unknown]         [k] 0xffffffff84f8c9d1                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.35%  frankenredis      [.] <std::sys::pal::unix::time::Timespec>::now                                                                                                                                                                                                                                                                                                                                     -      -            
     0.34%  frankenredis      [.] <fr_store::ClientTrackingState as core::clone::Clone>::clone_from                                                                                                                                                                                                                                                                                                              -      -            
     0.34%  frankenredis      [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&u64>                                                                                                                                                                                                                                                                                                  -      -            
     0.33%  frankenredis      [.] <fr_runtime::Runtime>::reject_due_to_disk_write_error                                                                                                                                                                                                                                                                                                                          -      -            
     0.33%  frankenredis      [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&[u8]>                                                                                                                                                                                                                                                                                                 -      -            
     0.31%  frankenredis      [.] <fr_runtime::Runtime>::record_slowlog                                                                                                                                                                                                                                                                                                                                          -      -            
     0.30%  [unknown]         [k] 0xffffffff84f87bc0                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.30%  frankenredis      [.] <fr_runtime::ServerState>::run_active_expire_cycle                                                                                                                                                                                                                                                                                                                             -      -            
     0.29%  frankenredis      [.] <fr_store::Store>::run_active_expire_cycle                                                                                                                                                                                                                                                                                                                                     -      -            
     0.29%  frankenredis      [.] fr_protocol::push_inline_sanitized                                                                                                                                                                                                                                                                                                                                             -      -            
     0.28%  frankenredis      [.] <fr_runtime::Runtime>::refresh_dispatch_peer_addr_cache                                                                                                                                                                                                                                                                                                                        -      -            
     0.26%  frankenredis      [.] <alloc::raw_vec::RawVecInner>::finish_grow                                                                                                                                                                                                                                                                                                                                     -      -            
     0.25%  frankenredis      [.] fr_command::setex                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.25%  libc.so.6         [.] clock_gettime@@GLIBC_2.17                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.25%  frankenredis      [.] <fr_runtime::Runtime>::pubsub_sub_count                                                                                                                                                                                                                                                                                                                                        -      -            
     0.24%  frankenredis      [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&[u8]>                                                                                                                                                                                                                                                                                                 -      -            
     0.24%  [unknown]         [k] 0xffffffff8621c6a9                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.23%  [unknown]         [k] 0xffffffff84d04104                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.23%  frankenredis      [.] fr_command::is_write_command                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.23%  [unknown]         [k] 0xffffffff84c01192                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.22%  frankenredis      [.] <fr_runtime::Runtime>::execute_db_scoped_command                                                                                                                                                                                                                                                                                                                               -      -            
     0.21%  frankenredis      [.] <std::time::Instant>::elapsed                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.21%  frankenredis      [.] <fr_runtime::ServerState>::record_command_histogram_outcome                                                                                                                                                                                                                                                                                                                    -      -            
     0.20%  frankenredis      [.] fr_command::command_acl_parent_has_subcommands                                                                                                                                                                                                                                                                                                                                 -      -            
     0.19%  frankenredis      [.] <fr_runtime::ServerState>::propagate_expired_key_deletions                                                                                                                                                                                                                                                                                                                     -      -            
     0.18%  frankenredis      [.] fr_command::parse_expire_time_arg                                                                                                                                                                                                                                                                                                                                              -      -            
     0.18%  frankenredis      [.] <alloc::raw_vec::RawVecInner<_>>::reserve::do_reserve_and_handle::<alloc::alloc::Global>                                                                                                                                                                                                                                                                                       -      -            
     0.17%  frankenredis      [.] <fr_runtime::ServerState>::capture_aof_record                                                                                                                                                                                                                                                                                                                                  -      -            
     0.17%  frankenredis      [.] <fr_runtime::Runtime>::capture_aof_record                                                                                                                                                                                                                                                                                                                                      -      -            
     0.17%  frankenredis      [.] core::fmt::write                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.17%  libc.so.6         [.] __libc_recv                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.17%  frankenredis      [.] _mi_malloc_generic                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.16%  frankenredis      [.] <fr_runtime::Runtime>::command_uses_script_propagation                                                                                                                                                                                                                                                                                                                         -      -            
     0.16%  frankenredis      [.] <std::sys::pal::unix::time::Timespec>::sub_timespec                                                                                                                                                                                                                                                                                                                            -      -            
     0.16%  frankenredis      [.] fr_store::estimate_entry_memory_usage_bytes                                                                                                                                                                                                                                                                                                                                    -      -            
     0.16%  frankenredis      [.] <fr_runtime::Runtime>::take_script_propagation_commands_for_capture                                                                                                                                                                                                                                                                                                            -      -            
     0.15%  frankenredis      [.] <fr_runtime::Runtime>::run_active_expire_cycle                                                                                                                                                                                                                                                                                                                                 -      -            
     0.15%  frankenredis      [.] <fr_runtime::Runtime>::reject_due_to_replica_write_quorum                                                                                                                                                                                                                                                                                                                      -      -            
     0.15%  libc.so.6         [.] __syscall_cancel                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.15%  frankenredis      [.] <fr_runtime::Runtime>::reject_write_on_readonly_replica                                                                                                                                                                                                                                                                                                                        -      -            
     0.14%  frankenredis      [.] frankenredis::drain_pending_pubsub_to_connection                                                                                                                                                                                                                                                                                                                               -      -            
     0.14%  frankenredis      [.] <fr_runtime::Runtime>::is_in_subscription_mode                                                                                                                                                                                                                                                                                                                                 -      -            
     0.13%  frankenredis      [.] <fr_runtime::Runtime>::reject_stale_replica_read_request                                                                                                                                                                                                                                                                                                                       -      -            
     0.13%  frankenredis      [.] frankenredis::borrowed_plain_hexists_args                                                                                                                                                                                                                                                                                                                                      -      -            
     0.13%  frankenredis      [.] <core::fmt::Formatter>::pad_integral                                                                                                                                                                                                                                                                                                                                           -      -            
     0.13%  frankenredis      [.] <hashbrown::map::HashMap<u64, alloc::vec::Vec<fr_store::PubSubMessage>, std::hash::random::RandomState>>::remove::<u64>                                                                                                                                                                                                                                                        -      -            
     0.13%  frankenredis      [.] mi_bin                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.13%  [unknown]         [k] 0xffffffff85080fb1                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.12%  frankenredis      [.] <fr_runtime::Runtime>::command_advances_replication_offset                                                                                                                                                                                                                                                                                                                     -      -            
     0.12%  [unknown]         [k] 0xffffffff851965e6                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.12%  frankenredis      [.] <fr_runtime::Runtime>::is_pubsub_client                                                                                                                                                                                                                                                                                                                                        -      -            
     0.12%  [unknown]         [k] 0xffffffff8623a6a7                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.12%  frankenredis      [.] mi_theap_malloc_zero_aligned_at_generic                                                                                                                                                                                                                                                                                                                                        -      -            
