# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles:P'
# Event count (approx.): 11254857444
#
# Overhead  Shared Object     Symbol                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  ................  ...............................................................................................................................................................................................................................................................  ....................
#
     0.13%  frankenredis      [.] _mi_malloc_generic                                                                                                                                                                                                                                           -      -
     0.13%  frankenredis      [.] core::ptr::drop_in_place::<alloc::vec::Vec<alloc::vec::Vec<u8>>>                                                                                                                                                                                             -      -
     0.13%  [unknown]         [k] 0xffffffff860274d0                                                                                                                                                                                                                                           -      -
     0.13%  [unknown]         [k] 0xffffffff851a2235                                                                                                                                                                                                                                           -      -
     0.13%  frankenredis      [.] <alloc::string::String>::from_utf8_lossy                                                                                                                                                                                                                     -      -
     0.13%  frankenredis      [.] core::ptr::drop_in_place::<fr_runtime::ClientSession>                                                                                                                                                                                                        -      -
     0.12%  frankenredis      [.] mi_theap_malloc_zero_aligned_at_generic                                                                                                                                                                                                                      -      -
     0.12%  [unknown]         [k] 0xffffffff8517f717                                                                                                                                                                                                                                           -      -
     0.11%  frankenredis      [.] frankenredis::drain_pending_pubsub_to_connection                                                                                                                                                                                                             -      -
     0.11%  frankenredis      [.] fr_command::rewrite_relative_expire_for_propagation                                                                                                                                                                                                          -      -
     0.11%  frankenredis      [.] <fr_runtime::Runtime>::execute_frame_internal::{closure#6}                                                                                                                                                                                                   -      -
     0.11%  [unknown]         [k] 0xffffffff85eefc98                                                                                                                                                                                                                                           -      -
     0.11%  frankenredis      [.] <fr_runtime::Runtime>::execute_db_scoped_command                                                                                                                                                                                                             -      -
     0.10%  frankenredis      [.] <fr_runtime::Runtime>::enforce_maxmemory_before_dispatch                                                                                                                                                                                                     -      -
     0.10%  frankenredis      [.] <fr_store::ClientTrackingState as core::clone::Clone>::clone_from                                                                                                                                                                                            -      -
     0.10%  frankenredis      [.] <fr_store::Value>::string_owned                                                                                                                                                                                                                              -      -
     0.10%  [unknown]         [k] 0xffffffff84d04104                                                                                                                                                                                                                                           -      -
     0.10%  frankenredis      [.] <alloc::raw_vec::RawVecInner>::finish_grow                                                                                                                                                                                                                   -      -
     0.10%  libc.so.6         [.] __syscall_cancel                                                                                                                                                                                                                                             -      -
