# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:P'
# Event count (approx.): 16692135954
#
# Overhead  Symbol                                                                                                                                                                                                    Shared Object     IPC   [IPC Coverage]
# ........  ........................................................................................................................................................................................................  ................  ....................
#
     0.07%  [k] 0xffffffff86001824                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff84f23441                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff851965fc                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff8508acb8                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff850a9504                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff85500bd5                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffffc0816f67                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [.] <std::sys::pal::unix::time::Timespec>::sub_timespec                                                                                                                                                   frankenredis      -      -            
     0.07%  [k] 0xffffffff851a2a2b                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff85f02a0c                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffffc0fb0810                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff8604ab87                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff85712176                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff85f606e6                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff8548f9c3                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff850cd883                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff853e9b98                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff85088936                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff862206af                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff8506c87b                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff84fc6538                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff8600a886                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff8603d72f                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff8508129a                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffffc081760f                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff85f2e989                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffffc08175c0                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff8510f1f0                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff85104b40                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff853f14ec                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff85f2ef10                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff8572a5be                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff8507e72a                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff8510f1d0                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff853e9b9b                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffffc0f92016                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff8623a3c0                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff8602f79a                                                                                                                                                                                    [unknown]         -      -            
     0.07%  [k] 0xffffffff860118d3                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff8623a4d4                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff854ffa95                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff8623a54f                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff8603a6d1                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff86022536                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffffc0fde292                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff851a2a23                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff850cd87a                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff86041573                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff8583c211                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffffc0fd74ed                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff86220708                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff8623a4cd                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff854b7d80                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff8548f9b9                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff85f2e226                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff84f233a2                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff86023d7b                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff85104b25                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff85f1f488                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff85f2e026                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff85ef4066                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff8600a7d8                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff85f2b627                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffffc0fee6e6                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffffc0f92547                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff851a2b2c                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff8545987f                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff85480b66                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff86022f37                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff86011271                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff85ef6dee                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff86239c3b                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff85717a56                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff8600a158                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff854ffa90                                                                                                                                                                                    [unknown]         -      -            
     0.06%  [k] 0xffffffff85ffba6e                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff86220551                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85f2f11b                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85087efd                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [.] <std::sync::mpmc::waker::SyncWaker>::notify                                                                                                                                                           frankenredis      -      -            
     0.05%  [k] 0xffffffff860114e7                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8507b51e                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8519f55e                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85456d92                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffffc0fddc98                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff850b2c99                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff853f1400                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85eec316                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [.] 0x0000000000000934                                                                                                                                                                                    [vdso]            -      -            
     0.05%  [k] 0xffffffff8602f117                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8623a357                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85503f60                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffffc0f920fb                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8603466a                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff850210af                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8572a63d                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff850b8f3e                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8621f968                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff86036620                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffffc081712f                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffffc0816015                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffffc0fdbeb0                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8513cf21                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff86239b8f                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8604c2f0                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85ef4062                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85ef3fb8                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff86041535                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffffc0f9249d                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [.] 0x00000000000009c9                                                                                                                                                                                    [vdso]            -      -            
     0.05%  [k] 0xffffffff8513aedd                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff856a2147                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff86220511                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff86232e82                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8515fe40                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85124bff                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85480b7e                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [.] core::ptr::drop_glue::<fr_runtime::ClientSession>                                                                                                                                                     frankenredis      -      -            
     0.05%  [k] 0xffffffff85f0cd7b                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff851a2b4d                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff86071a23                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8519f4ba                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff851a298f                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8546fe44                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff84f234c3                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8519f4f7                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff86220541                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff84c00112                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85131d96                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85eff1a7                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85eeb856                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85124d37                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffffc0fb087e                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8519f4ac                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85eec275                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8519660e                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff86039ff8                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff84c000ba                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85712546                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff86036f68                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8603c944                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8571c0eb                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff853f11d0                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85500e2d                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff86023707                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8602751c                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85eefd9c                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85104b45                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff853ec412                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85504041                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8623b8a0                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff84fc6541                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffffc0feabe3                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff851a2b48                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85eefc89                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8604ce14                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8515c8e2                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff851a0563                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85503fa7                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff855004f7                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85f607a3                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8602b0db                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85459886                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff851a04c5                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85f2df4b                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85ef6df6                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff86027543                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8508352a                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff8548f9a6                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85f2efaa                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffffc0817606                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85eefd13                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85080fd0                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff86036e19                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff86034718                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff86011c1d                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffff85eeb89a                                                                                                                                                                                    [unknown]         -      -            
     0.05%  [k] 0xffffffffc0fbe409                                                                                                                                                                                    [unknown]         -      -            
