# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'instructions:u'
# Event count (approx.): 4097430879
#
# Overhead  Symbol                                                                                                                            Shared Object     IPC   [IPC Coverage]
# ........  ................................................................................................................................  ................  ....................
#
     0.19%  [k] 0xffffffffb08f7dc3                                                                                                            [unknown]         -      -            
     0.19%  [k] 0xffffffffafe53cce                                                                                                            [unknown]         -      -            
     0.19%  [.] 0x00000000000009bf                                                                                                            [vdso]            -      -            
     0.19%  [.] 0x0000000000000994                                                                                                            [vdso]            -      -            
     0.19%  [k] 0xffffffffb0c3a3c2                                                                                                            [unknown]         -      -            
     0.18%  [k] 0xffffffffafa21b09                                                                                                            [unknown]         -      -            
     0.18%  [k] 0xffffffffb08ff259                                                                                                            [unknown]         -      -            
     0.18%  [k] 0xffffffffb0c204ea                                                                                                            [unknown]         -      -            
     0.18%  [.] <alloc::collections::btree::map::IntoIter<alloc::vec::Vec<u8>, alloc::collections::btree::set_val::SetValZST>>::dying_next    frankenredis      -      -            
     0.17%  [k] 0xffffffffb0a24b25                                                                                                            [unknown]         -      -            
     0.17%  [.] __syscall_cancel                                                                                                              libc.so.6         -      -            
     0.16%  [.] frankenredis::record_deferred_buffered_token                                                                                  frankenredis      -      -            
     0.16%  [k] 0xffffffffb08ef9c2                                                                                                            [unknown]         -      -            
     0.16%  [k] 0xffffffffaf704109                                                                                                            [unknown]         -      -            
     0.15%  [.] <frankenredis::ClientConnection>::try_flush                                                                                   frankenredis      -      -            
     0.15%  [k] 0xffffffffb08f6b8c                                                                                                            [unknown]         -      -            
     0.15%  [k] 0xffffffffb0a3caa7                                                                                                            [unknown]         -      -            
     0.15%  [k] 0xffffffffafba2943                                                                                                            [unknown]         -      -            
     0.15%  [k] 0xffffffffafeafef2                                                                                                            [unknown]         -      -            
     0.13%  [k] 0xffffffffb08efa6f                                                                                                            [unknown]         -      -            
     0.13%  [.] 0x000000000000098c                                                                                                            [vdso]            -      -            
     0.13%  [k] 0xffffffffafba2988                                                                                                            [unknown]         -      -            
     0.13%  [.] 0x000000000000099f                                                                                                            [vdso]            -      -            
     0.13%  [k] 0xffffffffaf600080                                                                                                            [unknown]         -      -            
     0.12%  [k] 0xffffffffb08f6bc1                                                                                                            [unknown]         -      -            
     0.12%  [k] 0xffffffffb08ef97c                                                                                                            [unknown]         -      -            
     0.12%  [.] fr_protocol::write_u64_digits                                                                                                 frankenredis      -      -            
     0.12%  [.] 0x0000000000000956                                                                                                            [vdso]            -      -            
     0.12%  [k] 0xffffffffafdf1279                                                                                                            [unknown]         -      -            
     0.12%  [k] 0xffffffffb0a3ca69                                                                                                            [unknown]         -      -            
     0.12%  [.] 0x000000000000094d                                                                                                            [vdso]            -      -            
     0.11%  [.] 0x0000000000000942                                                                                                            [vdso]            -      -            
     0.11%  [.] 0x0000000000000931                                                                                                            [vdso]            -      -            
     0.11%  [.] core::ptr::drop_glue::<fr_runtime::TransactionState>                                                                          frankenredis      -      -            
     0.11%  [k] 0xffffffffafdf152c                                                                                                            [unknown]         -      -            
     0.10%  [.] 0x00000000000009c2                                                                                                            [vdso]            -      -            
     0.10%  [k] 0xffffffffb0a44fd7                                                                                                            [unknown]         -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
