pass194 candidate2_vs_baseline_ping_adjacent_p16_c50_n800k P16/C50 n800k reps5
base=/data/projects/.scratch/frankenredis-pass194-target/release-perf/frankenredis
candidate2=/data/projects/.scratch/frankenredis-pass194-candidate2-target/release-perf/frankenredis

## baseline rep 1
 
PING_INLINE: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                                   
PING_INLINE: rps=778900.4 (overall: 778900.4) avg_msec=0.898 (overall: 0.898)
                                                                              
PING_INLINE: rps=851520.0 (overall: 815137.8) avg_msec=0.873 (overall: 0.885)
                                                                              
PING_INLINE: rps=889536.0 (overall: 839904.1) avg_msec=0.875 (overall: 0.881)
                                                                              
PING_INLINE: 842992.62 requests per second, p50=0.863 msec
 
PING_MBULK: rps=220685.3 (overall: 1107840.0) avg_msec=0.372 (overall: 0.372)
                                                                              
PING_MBULK: rps=823936.0 (overall: 871253.3) avg_msec=0.554 (overall: 0.516)
                                                                             
PING_MBULK: rps=997632.0 (overall: 928698.2) avg_msec=0.426 (overall: 0.472)
                                                                             
PING_MBULK: rps=1093673.4 (overall: 980394.5) avg_msec=0.390 (overall: 0.443)
                                                                              
PING_MBULK: 982801.00 requests per second, p50=0.375 msec
 
GET: rps=907584.0 (overall: 965514.9) avg_msec=0.458 (overall: 0.458)
                                                                      
GET: rps=991171.4 (overall: 978765.4) avg_msec=0.424 (overall: 0.440)
                                                                      
GET: rps=1011840.0 (overall: 990000.0) avg_msec=0.413 (overall: 0.430)
                                                                       
GET: 997506.25 requests per second, p50=0.383 msec


## baseline rep 2
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: rps=798976.0 (overall: 795792.9) avg_msec=0.899 (overall: 0.899)
                                                                              
PING_INLINE: rps=873664.0 (overall: 834650.8) avg_msec=0.858 (overall: 0.878)
                                                                              
PING_INLINE: rps=853673.4 (overall: 841000.0) avg_msec=0.877 (overall: 0.877)
                                                                              
PING_INLINE: 833333.38 requests per second, p50=0.847 msec
 
PING_MBULK: rps=159296.0 (overall: 1021128.2) avg_msec=0.408 (overall: 0.408)
                                                                              
PING_MBULK: rps=1025083.7 (overall: 1024551.8) avg_msec=0.431 (overall: 0.428)
                                                                               
PING_MBULK: rps=1062912.0 (overall: 1042311.1) avg_msec=0.411 (overall: 0.420)
                                                                               
PING_MBULK: 1015228.44 requests per second, p50=0.383 msec
 
GET: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                          
GET: rps=857984.0 (overall: 851174.6) avg_msec=0.550 (overall: 0.550)
                                                                      
GET: rps=973769.0 (overall: 912349.9) avg_msec=0.433 (overall: 0.488)
                                                                      
GET: rps=1027264.0 (overall: 950501.9) avg_msec=0.403 (overall: 0.457)
                                                                       
GET: 962695.56 requests per second, p50=0.383 msec


## baseline rep 3
 
