pass194 candidate2_vs_baseline_ping_adjacent_p16_c50_n800k_reversed P16/C50 n800k reps5
base=/data/projects/.scratch/frankenredis-pass194-target/release-perf/frankenredis
candidate2=/data/projects/.scratch/frankenredis-pass194-candidate2-target/release-perf/frankenredis

## candidate rep 1
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: rps=846848.0 (overall: 843474.1) avg_msec=0.568 (overall: 0.568)
                                                                              
PING_INLINE: rps=1042048.0 (overall: 942562.9) avg_msec=0.417 (overall: 0.485)
                                                                               
PING_INLINE: rps=868653.4 (overall: 917893.6) avg_msec=0.505 (overall: 0.491)
                                                                              
PING_INLINE: 934579.44 requests per second, p50=0.383 msec
 
PING_MBULK: rps=647232.0 (overall: 1131524.4) avg_msec=0.367 (overall: 0.367)
                                                                              
PING_MBULK: rps=1075442.2 (overall: 1095797.0) avg_msec=0.408 (overall: 0.393)
                                                                               
PING_MBULK: rps=1110528.0 (overall: 1101515.5) avg_msec=0.380 (overall: 0.388)
                                                                               
PING_MBULK: 1089918.25 requests per second, p50=0.367 msec
 
GET: rps=638592.0 (overall: 1016866.2) avg_msec=0.420 (overall: 0.420)
                                                                       
GET: rps=973195.2 (overall: 990000.0) avg_msec=0.426 (overall: 0.424)
                                                                      
GET: rps=1015488.0 (overall: 999683.9) avg_msec=0.417 (overall: 0.421)
                                                                       
GET: 1011378.00 requests per second, p50=0.375 msec


## candidate rep 2
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: rps=1006151.4 (overall: 1002158.7) avg_msec=0.418 (overall: 0.418)
                                                                                
PING_INLINE: rps=1004672.0 (overall: 1003410.4) avg_msec=0.419 (overall: 0.418)
                                                                                
PING_INLINE: rps=1006272.0 (overall: 1004361.8) avg_msec=0.412 (overall: 0.416)
                                                                                
PING_INLINE: 1010101.00 requests per second, p50=0.375 msec
 
PING_MBULK: rps=920860.6 (overall: 1105913.9) avg_msec=0.372 (overall: 0.372)
                                                                              
PING_MBULK: rps=1115136.0 (overall: 1110936.9) avg_msec=0.372 (overall: 0.372)
                                                                               
PING_MBULK: rps=991235.1 (overall: 1068619.8) avg_msec=0.427 (overall: 0.390)
                                                                              
PING_MBULK: 1070950.50 requests per second, p50=0.367 msec
 
GET: rps=881664.0 (overall: 1044625.6) avg_msec=0.398 (overall: 0.398)
                                                                       
GET: rps=1068749.0 (overall: 1057731.6) avg_msec=0.383 (overall: 0.390)
                                                                        
GET: rps=1095680.0 (overall: 1071056.1) avg_msec=0.386 (overall: 0.389)
                                                                        
GET: 1065246.38 requests per second, p50=0.375 msec


## candidate rep 3
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: rps=1039488.0 (overall: 1035346.7) avg_msec=0.411 (overall: 0.411)
                                                                                
PING_INLINE: rps=1022215.2 (overall: 1028780.9) avg_msec=0.413 (overall: 0.412)
                                                                                
PING_INLINE: rps=913920.0 (overall: 990595.8) avg_msec=0.499 (overall: 0.438)
                                                                              
PING_INLINE: 997506.25 requests per second, p50=0.375 msec
 
PING_MBULK: rps=863681.3 (overall: 1094868.8) avg_msec=0.396 (overall: 0.396)
                                                                              
PING_MBULK: rps=1032192.0 (overall: 1059892.9) avg_msec=0.435 (overall: 0.417)
                                                                               
PING_MBULK: rps=967968.2 (overall: 1026884.1) avg_msec=0.440 (overall: 0.425)
                                                                              
PING_MBULK: 1016518.44 requests per second, p50=0.383 msec
 
GET: rps=610176.0 (overall: 953400.0) avg_msec=0.468 (overall: 0.468)
                                                                      
GET: rps=937179.3 (overall: 943493.9) avg_msec=0.460 (overall: 0.463)
                                                                      
GET: rps=921280.0 (overall: 935092.2) avg_msec=0.494 (overall: 0.474)
                                                                      
GET: 947867.31 requests per second, p50=0.415 msec


## candidate rep 4
 
PING_INLINE: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                                   
PING_INLINE: rps=992318.8 (overall: 992318.8) avg_msec=0.430 (overall: 0.430)
                                                                              
PING_INLINE: rps=1010112.0 (overall: 1001197.6) avg_msec=0.426 (overall: 0.428)
                                                                                
PING_INLINE: rps=902720.0 (overall: 968415.4) avg_msec=0.496 (overall: 0.449)
                                                                              
PING_INLINE: 973236.00 requests per second, p50=0.375 msec
 
PING_MBULK: rps=760576.0 (overall: 1074259.9) avg_msec=0.405 (overall: 0.405)
                                                                              
PING_MBULK: rps=1109035.9 (overall: 1094654.2) avg_msec=0.369 (overall: 0.383)
                                                                               
PING_MBULK: rps=1061376.0 (overall: 1082383.5) avg_msec=0.412 (overall: 0.394)
                                                                               
PING_MBULK: 1085481.75 requests per second, p50=0.367 msec
 
GET: rps=759744.0 (overall: 1004952.4) avg_msec=0.427 (overall: 0.427)
                                                                       
GET: rps=1006215.2 (overall: 1005672.8) avg_msec=0.434 (overall: 0.431)
                                                                        
GET: rps=1014976.0 (overall: 1009043.5) avg_msec=0.418 (overall: 0.426)
                                                                        
GET: 1013941.75 requests per second, p50=0.383 msec


## candidate rep 5
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: rps=965056.0 (overall: 961211.2) avg_msec=0.448 (overall: 0.448)
                                                                              
PING_INLINE: rps=1058613.6 (overall: 1009912.4) avg_msec=0.396 (overall: 0.421)
                                                                                
PING_INLINE: rps=906496.0 (overall: 975531.9) avg_msec=0.493 (overall: 0.443)
                                                                              
PING_INLINE: 982801.00 requests per second, p50=0.375 msec
