pass194 candidate vs baseline P16/C50 n800k reps5
base=/data/projects/.scratch/frankenredis-pass194-target/release-perf/frankenredis
candidate=/data/projects/.scratch/frankenredis-pass194-candidate-target/release-perf/frankenredis

## baseline rep 1
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: rps=703424.0 (overall: 700621.6) avg_msec=1.049 (overall: 1.049)
                                                                              
PING_INLINE: rps=850752.0 (overall: 775536.9) avg_msec=0.854 (overall: 0.942)
                                                                              
PING_INLINE: rps=763601.6 (overall: 771553.2) avg_msec=0.920 (overall: 0.935)
                                                                              
PING_INLINE: rps=601024.4 (overall: 719762.9) avg_msec=1.139 (overall: 0.987)
                                                                              
PING_INLINE: 723981.88 requests per second, p50=0.887 msec
 
PING_MBULK: rps=947520.0 (overall: 1062242.1) avg_msec=0.405 (overall: 0.405)
                                                                              
PING_MBULK: rps=1103298.9 (overall: 1083983.1) avg_msec=0.375 (overall: 0.389)
                                                                               
PING_MBULK: rps=1105856.0 (overall: 1091536.0) avg_msec=0.372 (overall: 0.383)
                                                                               
PING_MBULK: 1089918.25 requests per second, p50=0.375 msec
 
GET: rps=947520.0 (overall: 995294.1) avg_msec=0.415 (overall: 0.415)
                                                                      
GET: rps=942023.9 (overall: 967950.9) avg_msec=0.448 (overall: 0.432)
                                                                      
GET: rps=928832.0 (overall: 954717.2) avg_msec=0.467 (overall: 0.443)
                                                                      
GET: 966183.56 requests per second, p50=0.391 msec


## baseline rep 2
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: rps=878720.0 (overall: 875219.2) avg_msec=0.886 (overall: 0.886)
                                                                              
PING_INLINE: rps=854336.0 (overall: 864798.4) avg_msec=0.892 (overall: 0.889)
                                                                              
PING_INLINE: rps=869312.0 (overall: 866300.9) avg_msec=0.837 (overall: 0.872)
                                                                              
PING_INLINE: 848356.31 requests per second, p50=0.871 msec
 
PING_MBULK: rps=236239.1 (overall: 1058857.1) avg_msec=0.390 (overall: 0.390)
                                                                              
PING_MBULK: rps=972235.3 (overall: 987832.8) avg_msec=0.464 (overall: 0.450)
                                                                             
PING_MBULK: rps=874237.8 (overall: 933413.8) avg_msec=0.551 (overall: 0.495)
                                                                             
PING_MBULK: 932400.94 requests per second, p50=0.383 msec
 
GET: rps=27927.3 (overall: 698181.8) avg_msec=0.667 (overall: 0.667)
                                                                     
GET: rps=955155.4 (overall: 944366.4) avg_msec=0.442 (overall: 0.449)
                                                                      
GET: rps=1034240.0 (overall: 988249.9) avg_msec=0.402 (overall: 0.425)
                                                                       
GET: rps=959424.0 (overall: 978792.6) avg_msec=0.443 (overall: 0.431)
                                                                      
GET: 775945.69 requests per second, p50=0.391 msec


## baseline rep 3
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: rps=845696.0 (overall: 842326.8) avg_msec=0.883 (overall: 0.883)
                                                                              
PING_INLINE: rps=714052.1 (overall: 775969.2) avg_msec=1.057 (overall: 0.966)
                                                                              
PING_INLINE: rps=795072.0 (overall: 782171.4) avg_msec=0.950 (overall: 0.960)
                                                                              
PING_INLINE: rps=731968.0 (overall: 769866.7) avg_msec=0.993 (overall: 0.968)
                                                                              
PING_INLINE: 702370.44 requests per second, p50=0.887 msec
 
PING_MBULK: rps=687907.8 (overall: 1060906.8) avg_msec=0.394 (overall: 0.394)
                                                                              
PING_MBULK: rps=985306.8 (overall: 1021042.0) avg_msec=0.425 (overall: 0.410)
                                                                              
PING_MBULK: rps=723119.8 (overall: 892953.3) avg_msec=0.563 (overall: 0.463)
                                                                             
PING_MBULK: 896860.94 requests per second, p50=0.375 msec
 
GET: rps=724079.7 (overall: 951539.2) avg_msec=0.447 (overall: 0.447)
                                                                      
GET: rps=999936.0 (overall: 978975.0) avg_msec=0.424 (overall: 0.434)
                                                                      
GET: rps=1021131.5 (overall: 994265.9) avg_msec=0.419 (overall: 0.429)
                                                                       
GET: 1000000.00 requests per second, p50=0.383 msec


## baseline rep 4
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: rps=781952.0 (overall: 778836.7) avg_msec=0.961 (overall: 0.961)
                                                                              
PING_INLINE: rps=713018.2 (overall: 744425.8) avg_msec=1.004 (overall: 0.983)
                                                                              
PING_INLINE: rps=682823.6 (overall: 721769.2) avg_msec=0.947 (overall: 0.970)
                                                                              
PING_INLINE: rps=493760.0 (overall: 669086.9) avg_msec=1.560 (overall: 1.071)
                                                                              
PING_INLINE: 623052.94 requests per second, p50=0.919 msec
 
PING_MBULK: rps=148096.0 (overall: 822755.5) avg_msec=0.548 (overall: 0.548)
                                                                             
PING_MBULK: rps=938999.9 (overall: 922498.4) avg_msec=0.457 (overall: 0.468)
                                                                             
PING_MBULK: rps=1085184.0 (overall: 994229.3) avg_msec=0.394 (overall: 0.432)
                                                                              
PING_MBULK: 1021711.38 requests per second, p50=0.375 msec
 
GET: rps=131761.0 (overall: 1033499.9) avg_msec=0.406 (overall: 0.406)
                                                                       
GET: rps=1096576.0 (overall: 1089418.4) avg_msec=0.379 (overall: 0.382)
                                                                        
GET: rps=1094693.2 (overall: 1091902.5) avg_msec=0.376 (overall: 0.379)
                                                                        
GET: 1073825.50 requests per second, p50=0.375 msec


## baseline rep 5
