# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 14060755418
#
# Overhead  Command       Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                           
# ........  ............  ....................  .................................................................................................................................................................................................................................................................................................................................................................................
#
     0.05%  frankenredis  [unknown]             [k] 0xffffffffc0fd77ca
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8519f584
     0.05%  frankenredis  [unknown]             [k] 0xffffffff86054325
     0.05%  frankenredis  [unknown]             [k] 0xffffffffc0fdbeb0
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8603f912
     0.05%  frankenredis  [unknown]             [k] 0xffffffffc0fba736
     0.05%  frankenredis  [unknown]             [k] 0xffffffffc0f927f5
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85ef6e58
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85081491
     0.05%  frankenredis  [unknown]             [k] 0xffffffff86011269
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8583c1bb
     0.05%  frankenredis  [unknown]             [k] 0xffffffffc0816010
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85104b45
     0.05%  frankenredis  [unknown]             [k] 0xffffffff851965e6
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8507bf05
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85ef403b
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8508113c
     0.05%  frankenredis  [unknown]             [k] 0xffffffff851a2288
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85456d8b
     0.05%  frankenredis  [unknown]             [k] 0xffffffffc0f929be
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8546fb26
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8506f945
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85f270d9
     0.05%  frankenredis  [unknown]             [k] 0xffffffff850a70c1
     0.05%  frankenredis  [unknown]             [k] 0xffffffff854fe89e
     0.05%  frankenredis  [unknown]             [k] 0xffffffff86048cbc
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85712c8e
     0.05%  frankenredis  [unknown]             [k] 0xffffffff850a795f
     0.05%  frankenredis  [unknown]             [k] 0xffffffff850814db
     0.05%  frankenredis  [unknown]             [k] 0xffffffff850a780c
     0.05%  frankenredis  [unknown]             [k] 0xffffffff857bfc49
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8604aa05
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85712c75
     0.05%  frankenredis  [unknown]             [k] 0xffffffff854feac5
     0.05%  frankenredis  [unknown]             [k] 0xffffffff851249de
     0.05%  frankenredis  [unknown]             [k] 0xffffffff86017b15
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85021640
     0.05%  frankenredis  [unknown]             [k] 0xffffffff850210bd
     0.05%  frankenredis  [unknown]             [k] 0xffffffff860248f3
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8603d3c7
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8623a441
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8530d398
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85079218
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85f03f76
     0.05%  frankenredis  frankenredis          [.] <alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut, u64, usize, alloc::collections::btree::node::marker::Leaf>, alloc::collections::btree::node::marker::KV>>::remove_leaf_kv::<<alloc::collections::btree::map::entry::OccupiedEntry<u64, usize>>::remove_kv::{closure#0}, alloc::alloc::Global>
     0.05%  frankenredis  [unknown]             [k] 0xffffffff86229e6b
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8603a151
     0.05%  frankenredis  [unknown]             [k] 0xffffffff86025ac9
     0.05%  frankenredis  [unknown]             [k] 0xffffffff86228a48
     0.05%  frankenredis  [unknown]             [k] 0xffffffff850865fd
     0.05%  frankenredis  [unknown]             [k] 0xffffffff851a0571
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8507e640
     0.05%  frankenredis  [unknown]             [k] 0xffffffffc0ffd797
     0.05%  frankenredis  [unknown]             [k] 0xffffffffc0fee6e5
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8545987f
     0.05%  frankenredis  [vdso]                [.] 0x000000000000093f
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8605488d
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85104b20
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85557b03
     0.05%  frankenredis  [unknown]             [k] 0xffffffff86071a44
     0.05%  frankenredis  frankenredis          [.] frankenredis::borrowed_plain_hmget_args
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85ef6ae6
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85f2f058
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85088659
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85314705
     0.05%  frankenredis  [unknown]             [k] 0xffffffff854afe55
     0.05%  frankenredis  [unknown]             [k] 0xffffffff850a718a
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8519f501
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85ef6ae0
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85f2c906
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85087858
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85eefb05
     0.05%  frankenredis  [unknown]             [k] 0xffffffff850818d5
     0.05%  frankenredis  [unknown]             [k] 0xffffffff853057d1
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8620d8f4
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8603fc97
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8502169d
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85f02a0c
     0.05%  frankenredis  [unknown]             [k] 0xffffffff854fe8ad
     0.05%  frankenredis  [unknown]             [k] 0xffffffff850875bf
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85300f96
     0.05%  frankenredis  [unknown]             [k] 0xffffffff86023d85
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8508148f
     0.05%  frankenredis  [unknown]             [k] 0xffffffff862378bc
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8603f6c9
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8603d891
     0.05%  frankenredis  [unknown]             [k] 0xffffffff860030af
     0.05%  frankenredis  [unknown]             [k] 0xffffffff86034b0a
     0.05%  frankenredis  [unknown]             [k] 0xffffffff860274d0
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85f1f49d
     0.05%  frankenredis  frankenredis          [.] fr_command::parse_client_reply_action
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8572a63d
     0.05%  frankenredis  [unknown]             [k] 0xffffffff86034b07
     0.05%  frankenredis  [unknown]             [k] 0xffffffff860112d6
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8602f87a
     0.05%  frankenredis  [unknown]             [k] 0xffffffff853ec30b
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8583c1eb
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85f0cbc3
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8602f2a5
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85838ed6
     0.05%  frankenredis  [unknown]             [k] 0xffffffff851a2abb
     0.05%  frankenredis  [unknown]             [k] 0xffffffff84fef682
     0.05%  frankenredis  [vdso]                [.] 0x0000000000000986
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85f0cd7b
     0.05%  frankenredis  [unknown]             [k] 0xffffffff851965e1
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85137761
     0.05%  frankenredis  [unknown]             [k] 0xffffffff854fe45f
     0.05%  frankenredis  [unknown]             [k] 0xffffffffc0fd3596
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8506f8c0
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8506f8cb
     0.05%  frankenredis  [unknown]             [k] 0xffffffffc0fd73b5
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8600a176
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85eff199
     0.05%  frankenredis  [unknown]             [k] 0xffffffff850815ca
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85453d68
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8602f743
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8622f22c
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8623a6a7
     0.04%  frankenredis  [unknown]             [k] 0xffffffff84f33104
     0.04%  frankenredis  [unknown]             [k] 0xffffffff851a2abd
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85f2e30a
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8604c859
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8603b450
     0.04%  frankenredis  [unknown]             [k] 0xffffffff850b2365
     0.04%  frankenredis  [unknown]             [k] 0xffffffff860017e0
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85f27696
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86036db1
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85300b66
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86225246
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86209dd1
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8519fd00
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85f2f044
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8604ab87
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8622fb8a
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86024a0a
     0.04%  frankenredis  [unknown]             [k] 0xffffffff853263a5
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85089ada
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8510fc90
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86054885
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8602044d
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8604c2f9
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85f2bc31
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8600a1ac
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85ef6b01
     0.04%  frankenredis  [unknown]             [k] 0xffffffff850bc62d
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8623a54f
     0.04%  frankenredis  [unknown]             [k] 0xffffffff84f233e4
     0.04%  frankenredis  [unknown]             [k] 0xffffffff854afe50
     0.04%  frankenredis  [unknown]             [k] 0xffffffff862378cc
     0.04%  frankenredis  [unknown]             [k] 0xffffffff854fe33a
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8622f16c
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85312aba
     0.04%  frankenredis  frankenredis          [.] frankenredis::borrowed_plain_sismember_args
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8513d7ca
     0.04%  frankenredis  [unknown]             [k] 0xffffffffc0816ef9
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86039fdc
     0.04%  frankenredis  [unknown]             [k] 0xffffffff854598e5
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8506dbb4
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85080faa
     0.04%  frankenredis  [vdso]                [.] 0x0000000000000948
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85088549
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8510f1dd
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85459915
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85eff3e3
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85ef3fb8
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8603486a
     0.04%  frankenredis  [unknown]             [k] 0xffffffff853ec7f8
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8507e663
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8509053c
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86042556
     0.04%  frankenredis  [unknown]             [k] 0xffffffff860257f6
     0.04%  frankenredis  frankenredis          [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&alloc::string::String>
     0.04%  frankenredis  [unknown]             [k] 0xffffffffc0fd6dca
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8507e3d8
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85180138
     0.04%  frankenredis  [unknown]             [k] 0xffffffffc0fee748
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8621f917
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86011b9f
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86054a3a
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8602601f
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85086b39
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85f03ee8
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8602593c
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86024ae6
     0.04%  frankenredis  [unknown]             [k] 0xffffffff851a0563
     0.04%  frankenredis  [unknown]             [k] 0xffffffff84c00002
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8507a9e5
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8603c9fd
     0.04%  frankenredis  [unknown]             [k] 0xffffffffc0f92440
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86209deb
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8508100e
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86039ff6
     0.04%  frankenredis  frankenredis          [.] frankenredis::borrowed_plain_zscore_args
     0.04%  frankenredis  frankenredis          [.] <core::fmt::Formatter>::pad_integral
     0.04%  frankenredis  [unknown]             [k] 0xffffffff862206af
     0.04%  frankenredis  [unknown]             [k] 0xffffffff853eec94
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85eff1ac
     0.04%  frankenredis  [unknown]             [k] 0xffffffff853267f0
     0.04%  frankenredis  [unknown]             [k] 0xffffffff850b6a55
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8507b4ff
     0.04%  frankenredis  [unknown]             [k] 0xffffffff860222e6
     0.04%  frankenredis  [unknown]             [k] 0xffffffff850a70c3
     0.04%  frankenredis  [unknown]             [k] 0xffffffff850a714d
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8623a3b0
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86054256
     0.04%  frankenredis  [unknown]             [k] 0xffffffff851a2b6a
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8508a305
     0.04%  frankenredis  [unknown]             [k] 0xffffffff850886b2
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85ef7cff
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8623a353
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85f0cb5e
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86017bc6
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8600a7c6
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8602592d
     0.04%  frankenredis  frankenredis          [.] <hashbrown::map::HashMap<mio::token::Token, (), std::hash::random::RandomState>>::insert
     0.04%  frankenredis  [vdso]                [.] 0x0000000000000936
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85133bf0
     0.04%  frankenredis  [unknown]             [k] 0xffffffff850a711f
     0.04%  frankenredis  [vdso]                [.] 0x0000000000000a00
     0.04%  frankenredis  [vdso]                [.] 0x000000000000098f
     0.04%  frankenredis  [unknown]             [k] 0xffffffffc0fbe462
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86025849
     0.04%  frankenredis  [unknown]             [k] 0xffffffff84f8cabb
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8604153b
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85f05370
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86036e97
     0.04%  frankenredis  [unknown]             [k] 0xffffffffc0feb030
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8548f9c2
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8603f799
     0.04%  frankenredis  [unknown]             [k] 0xffffffff84c00151
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85eefcc2
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8602f06c
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86071a1f
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85eeb849
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85f2e02b
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85eefe05
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8602efb5
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8603eb24
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85f2b5e5
     0.04%  frankenredis  frankenredis          [.] _mi_bin_size
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85087560
     0.04%  frankenredis  frankenredis          [.] <alloc::string::String as core::fmt::Write>::write_str
     0.04%  frankenredis  [unknown]             [k] 0xffffffff84f2e558
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85ef1843
     0.04%  frankenredis  [unknown]             [k] 0xffffffff854fe723
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8600a7e6
     0.04%  frankenredis  [vdso]                [.] 0x0000000000000956
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85132370
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85138270
     0.04%  frankenredis  [unknown]             [k] 0xffffffff850891fd
     0.04%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::namespace_argv_for_selected_db
     0.04%  frankenredis  [unknown]             [k] 0xffffffffc0fdb710
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85088929
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86045e6b
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8602f1d0
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8603cac3
     0.04%  frankenredis  [unknown]             [k] 0xffffffff853ec7d5
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8502171f
     0.04%  frankenredis  [unknown]             [k] 0xffffffff850815f7
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8513757f
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85f05399
     0.04%  frankenredis  [unknown]             [k] 0xffffffff853f11d5
     0.04%  frankenredis  frankenredis          [.] <hashbrown::map::HashMap<u64, alloc::vec::Vec<fr_store::PubSubMessage>, std::hash::random::RandomState>>::remove::<u64>
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8507e4cb
     0.04%  frankenredis  [unknown]             [k] 0xffffffffc0f92192
     0.04%  frankenredis  [vdso]                [.] 0x0000000000000988
     0.04%  frankenredis  [unknown]             [k] 0xffffffff860262ef
     0.04%  frankenredis  frankenredis          [.] <alloc::collections::btree::map::BTreeMap<alloc::vec::Vec<u8>, alloc::collections::btree::set_val::SetValZST>>::insert
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8602cc35
     0.04%  frankenredis  [unknown]             [k] 0xffffffff853f11d0
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85124c3f
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85f2ef10
     0.04%  frankenredis  [unknown]             [k] 0xffffffff853b8390
     0.04%  frankenredis  [unknown]             [k] 0xffffffffc08177e1
     0.04%  frankenredis  [unknown]             [k] 0xffffffffc13da47d
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86024a2a
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8603473c
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85efef32
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85180100
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85ffb9fb
     0.04%  frankenredis  [unknown]             [k] 0xffffffff854a0479
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8622522c
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86025786
     0.04%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::strip_db_prefixes_from_frame
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8506fd7b
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85835f44
     0.04%  frankenredis  [unknown]             [k] 0xffffffff860257ed
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8620da04
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85ef4072
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85124afc
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86022cc9
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8510f1e6
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86034b0f
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85326b15
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8510b3cc
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85ef3fc3
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8530cd8e
     0.04%  frankenredis  [unknown]             [k] 0xffffffffc0f92547
     0.04%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::pubsub_clients_with_pending
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8623793b
     0.04%  frankenredis  [vdso]                [.] 0x0000000000000966
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85138da2
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8603acbc
     0.04%  frankenredis  [unknown]             [k] 0xffffffffc0f924b3
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8519f426
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8508759f
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85d0744b
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86023707
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85eefcec
     0.04%  frankenredis  [unknown]             [k] 0xffffffff854fe335
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85124a27
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85f2df9d
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8546fc15
     0.04%  frankenredis  [unknown]             [k] 0xffffffffc0fdde77
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85eefc89
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8532641b
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8603a6a5
     0.04%  frankenredis  [unknown]             [k] 0xffffffffc0fe8de1
     0.04%  frankenredis  [unknown]             [k] 0xffffffff85112be5
     0.04%  frankenredis  [unknown]             [k] 0xffffffffc0f92477
     0.04%  frankenredis  [unknown]             [k] 0xffffffff8507b57a
     0.04%  frankenredis  [unknown]             [k] 0xffffffff86023601
     0.04%  frankenredis  [unknown]             [k] 0xffffffffc0ffd776
     0.03%  frankenredis  [vdso]                [.] 0x0000000000000931
     0.03%  frankenredis  [unknown]             [k] 0xffffffff860733bb
     0.03%  frankenredis  [unknown]             [k] 0xffffffff850a7835
     0.03%  frankenredis  [unknown]             [k] 0xffffffff851a2b20
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8602f7d0
     0.03%  frankenredis  [unknown]             [k] 0xffffffff850a7880
     0.03%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::enforce_maxmemory_before_dispatch
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85090657
     0.03%  frankenredis  [unknown]             [k] 0xffffffffc0fddce5
     0.03%  frankenredis  [unknown]             [k] 0xffffffffc0fee6e6
     0.03%  frankenredis  [vdso]                [.] 0x0000000000000976
     0.03%  frankenredis  [unknown]             [k] 0xffffffffc0f928be
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8602594c
     0.03%  frankenredis  [unknown]             [k] 0xffffffff851a0316
     0.03%  frankenredis  [unknown]             [k] 0xffffffff84c00f30
     0.03%  frankenredis  [unknown]             [k] 0xffffffff86036601
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8519f4a1
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8600a886
     0.03%  frankenredis  [unknown]             [k] 0xffffffffc13da47a
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85f2755f
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85456ed1
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8623a425
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8513d806
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85196609
     0.03%  frankenredis  [unknown]             [k] 0xffffffff86036e6d
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85453d51
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8602234a
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8546fb86
     0.03%  frankenredis  [unknown]             [k] 0xffffffffc0f9243c
     0.03%  frankenredis  [unknown]             [k] 0xffffffffc0fd359f
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8507e5d7
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85021070
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85ef5b16
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8507a600
     0.03%  frankenredis  [unknown]             [k] 0xffffffff84f23444
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8508804c
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8507df49
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85f0cd46
     0.03%  frankenredis  [unknown]             [k] 0xffffffff851a227b
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85f2b8bf
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85f27690
     0.03%  frankenredis  frankenredis          [.] _mi_theap_malloc_zero
     0.03%  frankenredis  [unknown]             [k] 0xffffffff851389fd
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85021ac1
     0.03%  frankenredis  [unknown]             [k] 0xffffffffc0fdd089
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85f2a4e0
     0.03%  frankenredis  [unknown]             [k] 0xffffffff84c00112
     0.03%  frankenredis  [unknown]             [k] 0xffffffff86220569
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8546fdaf
     0.03%  frankenredis  frankenredis          [.] <fr_runtime::ServerState>::record_latency_sample
     0.03%  frankenredis  [unknown]             [k] 0xffffffff86035e4f
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8508ab1d
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8507ec18
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8603b820
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8622f215
     0.03%  frankenredis  [unknown]             [k] 0xffffffff851a053a
     0.03%  frankenredis  [unknown]             [k] 0xffffffff862095c7
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8620acdf
     0.03%  frankenredis  frankenredis          [.] <std::io::error::Error>::kind
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85ef5b1e
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85ef6b03
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8603a025
     0.03%  frankenredis  [unknown]             [k] 0xffffffff850875c6
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85086b31
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85712ad5
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85bc6d0b
     0.03%  frankenredis  [unknown]             [k] 0xffffffff86039f45
     0.03%  frankenredis  [unknown]             [k] 0xffffffffc0feadd5
     0.03%  frankenredis  [unknown]             [k] 0xffffffff860259f2
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8603fc9a
     0.03%  frankenredis  [unknown]             [k] 0xffffffff860262ea
     0.03%  frankenredis  frankenredis          [.] <frankenredis::ClientConnection>::try_flush
     0.03%  frankenredis  [unknown]             [k] 0xffffffff85088a1b
     0.03%  frankenredis  [unknown]             [k] 0xffffffff8572a5c5
     0.03%  frankenredis  [unknown]             [k] 0xffffffff851319db
