# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 14060755418
#
# Overhead  Command       Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                           
# ........  ............  ....................  .................................................................................................................................................................................................................................................................................................................................................................................
#
     0.25%  frankenredis  [unknown]             [k] 0xffffffff84c00005
     0.24%  frankenredis  [unknown]             [k] 0xffffffff8623b8a0
     0.24%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::command_uses_script_propagation
     0.22%  frankenredis  frankenredis          [.] <alloc::raw_vec::RawVecInner>::finish_grow
     0.22%  frankenredis  frankenredis          [.] fr_command::command_acl_parent_has_subcommands
     0.21%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::execute_db_scoped_command
     0.21%  frankenredis  frankenredis          [.] fr_command::is_write_command
     0.21%  frankenredis  frankenredis          [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&u64>
     0.20%  frankenredis  frankenredis          [.] mi_theap_malloc_zero_aligned_at_generic
     0.19%  frankenredis  frankenredis          [.] <fr_protocol::RespFrame>::encode_into
     0.19%  frankenredis  frankenredis          [.] fr_store::canonical_string_value
     0.19%  frankenredis  frankenredis          [.] <alloc::vec::Vec<u8> as core::clone::Clone>::clone
     0.19%  frankenredis  frankenredis          [.] fr_protocol::push_inline_sanitized
     0.18%  frankenredis  frankenredis          [.] mi_theap_malloc_zero_aligned_at_overalloc
     0.18%  frankenredis  libc.so.6             [.] __libc_recv
     0.18%  frankenredis  [unknown]             [k] 0xffffffff854fd80c
     0.18%  frankenredis  [unknown]             [k] 0xffffffff8602f7fb
     0.17%  frankenredis  frankenredis          [.] <std::sys::pal::unix::time::Timespec>::now
     0.17%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::pubsub_sub_count
     0.17%  frankenredis  frankenredis          [.] fr_store::estimate_entry_memory_usage_bytes
     0.17%  frankenredis  [unknown]             [k] 0xffffffff8603c843
     0.16%  frankenredis  frankenredis          [.] <hashbrown::map::HashMap<mio::token::Token, (), std::hash::random::RandomState>>::remove::<mio::token::Token>
     0.16%  frankenredis  frankenredis          [.] core::fmt::write
     0.16%  frankenredis  frankenredis          [.] <fr_runtime::ServerState>::capture_aof_record
     0.16%  frankenredis  frankenredis          [.] <alloc::collections::btree::map::IntoIter<alloc::vec::Vec<u8>, alloc::collections::btree::set_val::SetValZST>>::dying_next
     0.15%  frankenredis  frankenredis          [.] <fr_store::Store>::run_active_expire_cycle
     0.15%  frankenredis  [unknown]             [k] 0xffffffffc0f923de
     0.15%  frankenredis  [unknown]             [k] 0xffffffff850bc4a5
     0.15%  frankenredis  frankenredis          [.] core::ptr::drop_glue::<fr_protocol::RespFrame>
     0.15%  frankenredis  frankenredis          [.] frankenredis::drain_pending_pubsub_to_connection
     0.15%  frankenredis  frankenredis          [.] <&core::net::ip_addr::Ipv4Addr as core::fmt::Display>::fmt
     0.14%  frankenredis  frankenredis          [.] core::str::converts::from_utf8
     0.14%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::execute_frame_internal::{closure#3}
     0.14%  frankenredis  libc.so.6             [.] __syscall_cancel
     0.14%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::flush_aof_to_disk
     0.14%  frankenredis  frankenredis          [.] alloc::boxed::box_new_uninit
     0.14%  frankenredis  [unknown]             [k] 0xffffffff85087e94
     0.14%  frankenredis  frankenredis          [.] <foldhash::quality::RandomState as core::hash::BuildHasher>::hash_one::<&[u8]>
     0.14%  frankenredis  frankenredis          [.] <alloc::collections::btree::map::BTreeMap<u64, alloc::collections::btree::set_val::SetValZST>>::remove::<u64>
     0.14%  frankenredis  [unknown]             [k] 0xffffffff854598e8
     0.14%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::execute_frame_internal::{closure#8}
     0.13%  frankenredis  [vdso]                [.] __vdso_clock_gettime
     0.13%  frankenredis  [unknown]             [k] 0xffffffff854fe8a8
     0.13%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::reject_write_on_readonly_replica
     0.13%  frankenredis  [unknown]             [k] 0xffffffff862251d0
     0.13%  frankenredis  [unknown]             [k] 0xffffffff85124d3c
     0.12%  frankenredis  [unknown]             [k] 0xffffffff86025f9b
     0.12%  frankenredis  frankenredis          [.] <hashbrown::map::HashMap<alloc::vec::Vec<u8>, alloc::collections::btree::map::BTreeMap<alloc::vec::Vec<u8>, fr_store::StreamGroup>, std::hash::random::RandomState>>::remove::<[u8]>
     0.12%  frankenredis  [unknown]             [k] 0xffffffff85f2e2da
     0.12%  frankenredis  [unknown]             [k] 0xffffffff8583093c
     0.12%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::capture_aof_record
     0.12%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::command_advances_replication_offset
     0.12%  frankenredis  [unknown]             [k] 0xffffffff85ef6ad4
     0.12%  frankenredis  [unknown]             [k] 0xffffffff8621f910
     0.12%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::queue_client_tracking_invalidations
     0.12%  frankenredis  frankenredis          [.] <fr_runtime::ServerState>::propagate_expired_key_deletions
     0.12%  frankenredis  [unknown]             [k] 0xffffffffc0f92021
     0.12%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::record_client_session
     0.12%  frankenredis  frankenredis          [.] <u8 as core::fmt::Display>::fmt
     0.12%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::take_script_propagation_commands_for_capture
     0.11%  frankenredis  [vdso]                [.] 0x00000000000009f8
     0.11%  frankenredis  [unknown]             [k] 0xffffffff8621c6a9
     0.11%  frankenredis  libc.so.6             [.] __send
     0.11%  frankenredis  [unknown]             [k] 0xffffffff84c01248
     0.11%  frankenredis  frankenredis          [.] mi_find_page
     0.11%  frankenredis  [unknown]             [k] 0xffffffffc0fb0816
     0.11%  frankenredis  [unknown]             [k] 0xffffffff8546fc81
     0.11%  frankenredis  [unknown]             [k] 0xffffffff8513d065
     0.11%  frankenredis  frankenredis          [.] frankenredis::borrowed_plain_getrange_args
     0.11%  frankenredis  frankenredis          [.] <alloc::raw_vec::RawVec<gimli::read::unit::AttributeValue<gimli::read::endian_slice::EndianSlice<gimli::endianity::LittleEndian>, usize>>>::grow_one
     0.11%  frankenredis  [unknown]             [k] 0xffffffff85f2e2c6
     0.10%  frankenredis  frankenredis          [.] <alloc::raw_vec::RawVecInner<_>>::reserve::do_reserve_and_handle::<alloc::alloc::Global>
     0.10%  frankenredis  [unknown]             [k] 0xffffffffc0fdc186
     0.10%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::reject_due_to_disk_write_error
     0.10%  frankenredis  [unknown]             [k] 0xffffffff854fe455
     0.10%  frankenredis  [unknown]             [k] 0xffffffff85124af4
     0.10%  frankenredis  frankenredis          [.] <alloc::collections::btree::map::BTreeMap<u64, fr_runtime::ClientSession>>::insert
     0.10%  frankenredis  [unknown]             [k] 0xffffffffc0f923ed
     0.10%  frankenredis  [unknown]             [k] 0xffffffff8548f9b9
     0.10%  frankenredis  [unknown]             [k] 0xffffffff85ffba18
     0.10%  frankenredis  [unknown]             [k] 0xffffffff85080faf
     0.09%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::swap_session
     0.09%  frankenredis  [unknown]             [k] 0xffffffff85835fd6
     0.09%  frankenredis  [unknown]             [k] 0xffffffff86003008
     0.09%  frankenredis  [unknown]             [k] 0xffffffff86220555
     0.09%  frankenredis  [unknown]             [k] 0xffffffff85137760
     0.09%  frankenredis  [unknown]             [k] 0xffffffff86011c1d
     0.09%  frankenredis  [unknown]             [k] 0xffffffff85021ac8
     0.09%  frankenredis  frankenredis          [.] <fr_runtime::Runtime>::check_child_processes
     0.09%  frankenredis  [unknown]             [k] 0xffffffff85080ffc
     0.09%  frankenredis  [unknown]             [k] 0xffffffff8603da01
     0.09%  frankenredis  [unknown]             [k] 0xffffffff86011279
