"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","395256.94","1.640","0.336","1.535","3.159","5.095","14.311"
"GET","600600.56","0.817","0.200","0.551","1.535","2.167","4.431"
"INCR","320000.00","2.253","0.472","2.015","4.199","6.071","30.943"
"LPUSH","459770.12","1.171","0.176","1.351","1.767","3.503","5.279"
"RPUSH","611620.81","0.828","0.208","0.575","1.543","3.823","5.663"
"SADD","584795.31","0.908","0.432","0.591","1.759","4.575","6.719"
"HSET","588235.31","1.163","0.400","1.095","1.751","4.375","5.287"
"SPOP","453514.72","1.327","0.192","1.263","2.471","3.719","7.239"
"ZADD","238379.03","3.173","0.592","3.335","5.191","8.951","10.015"
