# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'instructions:u'
# Event count (approx.): 6357392512
#
# Overhead  Command       Shared Object     Symbol                                   
# ........  ............  ................  .........................................
#
     0.12%  redis-server  [unknown]         [k] 0xffffffffb08f6b9b
     0.12%  redis-server  libc.so.6         [.] __strcasecmp_avx2
     0.12%  redis-server  [unknown]         [k] 0xffffffffb08f7e40
     0.12%  redis-server  [unknown]         [k] 0xffffffffb0c3a3dd
     0.12%  redis-server  [unknown]         [k] 0xffffffffb00a20ff
     0.12%  redis-server  [unknown]         [k] 0xffffffffb08f6bc0
     0.12%  redis-server  [unknown]         [k] 0xffffffffb012a64c
     0.12%  redis-server  [unknown]         [k] 0xffffffffb08ff259
     0.12%  redis-server  [unknown]         [k] 0xffffffffb08ecd30
     0.12%  redis-server  [unknown]         [k] 0xffffffffafe53cce
     0.12%  redis-server  redis-server      [.] sdssubstr
     0.12%  redis-server  [vdso]            [.] 0x0000000000000f23
     0.12%  redis-server  [unknown]         [k] 0xffffffffb0c20708
     0.12%  redis-server  [unknown]         [k] 0xffffffffafe7b296
     0.12%  redis-server  [unknown]         [k] 0xffffffffb0112195
     0.12%  redis-server  [unknown]         [k] 0xffffffffb012a75b
     0.12%  redis-server  [unknown]         [k] 0xffffffffb090c8de
     0.12%  redis-server  [unknown]         [k] 0xffffffffb0c204ea
     0.12%  redis-server  [unknown]         [k] 0xffffffffb0c20524
     0.12%  redis-server  [unknown]         [k] 0xffffffffb08ecd95
     0.12%  redis-server  [unknown]         [k] 0xffffffffb0a03213
     0.12%  redis-server  [unknown]         [k] 0xffffffffb0a24b25
     0.12%  redis-server  [unknown]         [k] 0xffffffffafefebbb
     0.12%  redis-server  redis-server      [.] ll2string
     0.12%  redis-server  [unknown]         [k] 0xffffffffb0a230f2
     0.12%  redis-server  [unknown]         [k] 0xffffffffaf600ef0
     0.12%  redis-server  [unknown]         [k] 0xffffffffafdf1288
     0.12%  redis-server  [unknown]         [k] 0xffffffffb0c3a4c3
     0.12%  redis-server  redis-server      [.] propagatePendingCommands.lto_priv.0
     0.11%  redis-server  [unknown]         [k] 0xffffffffafdf1236
     0.11%  redis-server  [unknown]         [k] 0xffffffffb0c20541
     0.11%  redis-server  [unknown]         [k] 0xffffffffafdf128c
     0.11%  redis-server  [vdso]            [.] 0x0000000000000eb3
     0.11%  redis-server  [unknown]         [k] 0xffffffffafe59951
     0.11%  redis-server  [vdso]            [.] 0x00000000000009bf
     0.11%  redis-server  [unknown]         [k] 0xffffffffafe7f2ba
     0.11%  redis-server  [unknown]         [k] 0xffffffffafb24a10
     0.11%  redis-server  redis-server      [.] je_tcache_bin_flush_stashed
     0.11%  redis-server  [unknown]         [k] 0xffffffffafe7f240
     0.10%  redis-server  [unknown]         [k] 0xffffffffafe7f3ba
     0.10%  redis-server  [unknown]         [k] 0xffffffffb090cdeb
     0.10%  redis-server  [unknown]         [k] 0xffffffffafe7e808


#
# (Cannot load tips.txt file, please install perf!)
#
